DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,-0.002265,,,,,0.26937,1.324213
0.1,-0.001117,,,,,0.504647,0.624432
0.116667,-0.000349,,,,,0.742759,1.073431
0.133333,0.000489,,,,,0.983707,0.776633
0.15,0.000867,,,,,1.227491,0.811549
0.166667,0.000985,,,,,1.474109,0.263478
0.183333,0.001263,,,,,1.723563,0.0548
0.2,0.000971,,,,,1.975853,0.492806
0.216667,0.001179,,,,,2.230977,0.319847
0.233333,0.000957,,,,,2.488937,0.353694
0.25,0.001406,,,,,2.749733,0.123396
0.266667,0.001824,,,,,3.013364,0.973762
0.283333,0.002242,,,,,3.27983,0.743901
0.3,0.001191,,,,,3.549131,0.938432
0.316667,0.000329,,,,,3.821268,1.445189
0.333333,-0.000852,,,,,,
0.35,-0.002674,,,,,,
0.366667,-0.002966,,,,,,
0.383333,-0.002079,,,,,,
0.4,-0.001531,,,,,,
0.416667,-0.000794,,,,,,
0.433333,0.000423,,,,,,
0.45,0.00117,,,,,,
0.466667,0.000557,,,,,,
0.483333,0.000553,,,,,,
0.5,0.000399,,,,,,
0.516667,0.000385,,,,,,
0.533333,-0.00037,,,,,,
0.55,-0.000595,,,,,,
0.566667,-0.00097,,,,,,
0.583333,-0.000565,,,,,,
0.6,-0.000841,,,,,,
0.616667,-0.000987,,,,,,
0.633333,-0.001113,,,,,,
0.65,-0.000969,,,,,,
0.666667,-0.001037,,,,,,
0.683333,-0.001074,,,,,,
0.7,-0.000121,,,,,,
0.716667,0.000052,,,,,,
0.733333,0.001764,,,,,,
0.75,0.001996,,,,,,
0.766667,0.001868,,,,,,
0.783333,0.00147,,,,,,
0.8,0.001032,,,,,,
0.816667,-0.000587,,,,,,
0.833333,-0.001285,,,,,,
0.85,-0.000404,,,,,,
0.866667,-0.000733,,,,,,
0.883333,0.000389,,,,,,
0.9,0.00161,,,,,,
0.916667,0.00206,,,,,,
0.933333,0.001251,,,,,,
0.95,0.000852,,,,,,
0.966667,-0.000497,,,,,,
0.983333,-0.001421,,,,,,
1,-0.001075,,,,,,
1.016667,-0.001029,,,,,,
1.033333,-0.000164,,,,,,
1.05,0.004677,,,,,,
1.066667,0.008717,,,,,,
1.083333,0.009979,,,,,,
1.1,0.010525,,,,,,
1.116667,0.009321,,,,,,
1.133333,0.004087,,,,,,
1.15,-0.002408,,,,,,
1.166667,-0.006131,,,,,,
1.183333,-0.006904,,,,,,
1.2,-0.006757,,,,,,
1.216667,-0.005372,,,,,,
1.233333,-0.001812,,,,,,
1.25,0.000337,,,,,,
1.266667,0.000736,,,,,,
1.283333,0.000454,,,,,,
1.3,-0.000842,,,,,,
1.316667,-0.001658,,,,,,
1.333333,-0.00121,,,,,,
1.35,-0.000421,,,,,,
1.366667,0.000528,,,,,,
1.383333,0.001048,,,,,,
1.4,0.000363,,,,,,
1.416667,-0.001154,,,,,,
1.433333,-0.001241,,,,,,
1.45,-0.001169,,,,,,
1.466667,-0.000087,,,,,,
1.483333,0.000401,,,,,,
1.5,0.000799,,,,,,
1.516667,0.001177,,,,,,
1.533333,0.000813,,,,,,
1.55,0.000338,,,,,,
1.566667,0.000964,,,,,,
1.583333,0.001329,,,,,,
1.6,0.000452,,,,,,
1.616667,0.000485,,,,,,
1.633333,0.000258,,,,,,
1.65,-0.00087,,,,,,
1.666667,-0.00077,,,,,,
1.683333,0.000571,,,,,,
1.7,0.001381,,,,,,
1.716667,0.00095,,,,,,
1.733333,0.001927,,,,,,
1.75,0.001435,,,,,,
1.766667,0.001102,,,,,,
1.783333,0.000587,,,,,,
1.8,0.001122,,,,,,
1.816667,-0.000074,,,,,,
1.833333,-0.00047,,,,,,
1.85,-0.001598,,,,,,
1.866667,-0.001527,,,,,,
1.883333,-0.001026,,,,,,
1.9,-0.000395,,,,,,
1.916667,0.000003,,,,,,
1.933333,0.000781,,,,,,
1.95,0.000979,,,,,,
1.966667,0.000185,,,,,,
1.983333,0.00046,,,,,,
2,0.000905,,,,,,
2.016667,-0.00007,,,,,,
2.033333,-0.001447,,,,,,
2.05,-0.001585,,,,,,
2.066667,-0.001483,,,,,,
2.083333,-0.000941,,,,,,
2.1,0.000398,,,,,,
2.116667,0.001268,,,,,,
2.133333,0.002107,,,,,,
2.15,0.002165,,,,,,
2.166667,0.002042,,,,,,
2.183333,0.002088,,,,,,
2.2,0.002245,,,,,,
2.216667,0.00133,,,,,,
2.233333,0.000263,,,,,,
2.25,-0.000153,,,,,,
2.266667,-0.001229,,,,,,
2.283333,-0.001588,,,,,,
2.3,-0.001408,,,,,,
2.316667,-0.001818,,,,,,
2.333333,-0.002228,,,,,,
2.35,-0.001682,,,,,,
2.366667,-0.001876,,,,,,
2.383333,-0.001929,,,,,,
2.4,-0.001214,,,,,,
2.416667,-0.001481,,,,,,
2.433333,-0.001229,,,,,,
2.45,0.000134,,,,,,
2.466667,0.001694,,,,,,
2.483333,0.002284,,,,,,
2.5,0.003463,,,,,,
2.516667,0.004322,,,,,,
2.533333,0.004069,,,,,,
2.55,0.002796,,,,,,
2.566667,0.003432,,,,,,
2.583333,0.003078,,,,,,
2.6,0.001421,,,,,,
2.616667,0.000174,,,,,,
2.633333,0.001196,,,,,,
2.65,0.000038,,,,,,
2.666667,-0.001504,,,,,,
2.683333,-0.001726,,,,,,
2.7,-0.002079,,,,,,
2.716667,-0.003644,,,,,,
2.733333,-0.003862,,,,,,
2.75,-0.00146,,,,,,
2.766667,-0.000108,,,,,,
2.783333,0.001298,,,,,,
2.8,0.001383,,,,,,
2.816667,0.002359,,,,,,
2.833333,0.001094,,,,,,
2.85,0.000721,,,,,,
2.866667,-0.000561,,,,,,
2.883333,-0.000833,,,,,,
2.9,-0.001567,,,,,,
2.916667,-0.001267,,,,,,
2.933333,-0.002898,,,,,,
2.95,-0.002678,,,,,,
2.966667,-0.002732,,,,,,
2.983333,-0.002921,,,,,,
3,-0.00358,,,,,,
3.016667,-0.001589,,,,,,
3.033333,-0.000084,,,,,,
3.05,-0.000011,,,,,,
3.066667,0.000353,,,,,,
3.083333,0.001225,,,,,,
3.1,-0.000139,,,,,,
3.116667,-0.001484,,,,,,
3.133333,-0.001239,,,,,,
3.15,-0.001505,,,,,,
3.166667,-0.002467,,,,,,
3.183333,-0.002459,,,,,,
3.2,-0.00136,,,,,,
3.216667,-0.000275,,,,,,
3.233333,0.000387,,,,,,
3.25,0.000359,,,,,,
3.266667,0.000502,,,,,,
3.283333,0.00063,,,,,,
3.3,0.000718,,,,,,
3.316667,0.001185,,,,,,
3.333333,0.002063,,,,,,
3.35,0.002157,,,,,,
3.366667,0.00215,,,,,,
3.383333,0.001204,,,,,,
3.4,-0.000263,,,,,,
3.416667,-0.001592,,,,,,
3.433333,-0.001591,,,,,,
3.45,-0.00331,,,,,,
3.466667,-0.00347,,,,,,
3.483333,-0.004002,,,,,,
3.5,-0.003573,,,,,,
3.516667,-0.004034,,,,,,
3.533333,-0.004644,,,,,,
3.55,0.00643,,,,,,
3.566667,0.028475,,,,,,
3.583333,0.056123,,,,,,
3.6,0.087289,,,,,,
3.616667,0.118115,,,,,,
3.633333,0.121331,,,,,,
3.65,0.102216,,,,,,
3.666667,0.068818,,,,,,
3.683333,0.02548,,,,,,
3.7,-0.020068,,,,,,
3.716667,-0.049703,,,,,,
3.733333,-0.063154,,,,,,
3.75,-0.066124,,,,,,
3.766667,-0.060195,,,,,,
3.783333,-0.048113,,,,,,
3.8,-0.033921,,,,,,
3.816667,-0.021139,,,,,,
3.833333,-0.010212,,,,,,
3.85,-0.003523,,,,,,
3.866667,0.000317,,,,,,
3.883333,0.002406,,,,,,
3.9,0.002311,,,,,,
3.916667,0.002594,,,,,,
3.933333,0.001007,,,,,,
3.95,0.001269,,,,,,
3.966667,0.000376,,,,,,
3.983333,0.000051,,,,,,
4,-0.000175,,,,,,
4.016667,0.000789,,,,,,
4.033333,0.000369,,,,,,
4.05,0.00111,,,,,,
4.066667,0.002041,,,,,,
4.083333,0.002062,,,,,,
4.1,0.001116,,,,,,
4.116667,0.00018,,,,,,
4.133333,0.000014,,,,,,
4.15,-0.000763,,,,,,
4.166667,-0.000346,,,,,,
4.183333,-0.000339,,,,,,
4.2,-0.000782,,,,,,
4.216667,0.000018,,,,,,
4.233333,0.000897,,,,,,
4.25,0.000146,,,,,,
4.266667,0.000785,,,,,,
4.283333,0.001615,,,,,,
4.3,0.000998,,,,,,
4.316667,0.002541,,,,,,
4.333333,0.00394,,,,,,
4.35,0.00326,,,,,,
4.366667,0.00348,,,,,,
4.383333,0.002791,,,,,,
4.4,0.001584,,,,,,
4.416667,0.001367,,,,,,
4.433333,0.00077,,,,,,
4.45,0.000372,,,,,,
4.466667,0.001122,,,,,,
4.483333,0.000098,,,,,,
4.5,-0.000967,,,,,,
4.516667,-0.000971,,,,,,
4.533333,-0.000335,,,,,,
4.55,-0.000375,,,,,,
4.566667,0.000704,,,,,,
4.583333,0.002363,,,,,,
4.6,0.004267,,,,,,
4.616667,0.00366,,,,,,
4.633333,0.003053,,,,,,
4.65,0.0037,,,,,,
4.666667,0.002947,,,,,,
4.683333,0.001154,,,,,,
4.7,0.002091,,,,,,
4.716667,0.002835,,,,,,
4.733333,0.002165,,,,,,
4.75,0.002116,,,,,,
4.766667,0.002176,,,,,,
4.783333,0.001255,,,,,,
4.8,0.000837,,,,,,
4.816667,-0.000561,,,,,,
4.833333,-0.000459,,,,,,
4.85,0.000082,,,,,,
4.866667,0.001194,,,,,,
4.883333,0.001625,,,,,,
4.9,0.001969,,,,,,
4.916667,0.001338,,,,,,
4.933333,-0.000192,,,,,,
4.95,-0.001823,,,,,,
4.966667,-0.001771,,,,,,
4.983333,-0.000836,,,,,,
