DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,-0.001022,,,0.036928,-9.840219,0.26937,-10.48346
0.1,-0.001159,,,0.26937,-9.819949,0.504647,-8.905906
0.116667,-0.000286,,,0.504647,-9.763577,0.742759,-10.407981
0.133333,0.000267,,,0.742759,-9.642852,0.983707,-9.149065
0.15,0.00024,,,0.983707,-9.314639,1.227491,-7.364103
0.166667,0.000933,,,1.227491,-8.043309,1.474109,-4.717825
0.183333,0.000856,,,1.474109,-4.114211,1.723563,-0.580841
0.2,0.000389,,,1.723563,-1.15382,1.975853,-0.002098
0.216667,0.000522,,,1.975853,-0.411216,2.230977,0.369486
0.233333,0.000275,,,2.230977,-0.198999,2.488937,0.28441
0.25,-0.001282,,,2.488937,-0.114562,2.749733,1.075581
0.266667,-0.001239,,,2.749733,-0.073046,3.013364,-0.391338
0.283333,-0.000825,,,3.013364,-0.049616,3.27983,-0.247866
0.3,-0.000732,,,3.27983,-0.035041,3.549131,-1.356936
0.316667,-0.000979,,,3.549131,-0.025284,3.821268,-0.900537
0.333333,0.000154,,,3.821268,-0.01836,,
0.35,0.000288,,,,,,
0.366667,0.000491,,,,,,
0.383333,0.001055,,,,,,
0.4,0.001778,,,,,,
0.416667,0.002182,,,,,,
0.433333,0.002916,,,,,,
0.45,0.003,,,,,,
0.466667,0.003194,,,,,,
0.483333,0.003178,,,,,,
0.5,0.002482,,,,,,
0.516667,-0.001154,,,,,,
0.533333,-0.00372,,,,,,
0.55,-0.005827,,,,,,
0.566667,-0.006743,,,,,,
0.583333,-0.006409,,,,,,
0.6,-0.003486,,,,,,
0.616667,-0.000593,,,,,,
0.633333,0.00021,,,,,,
0.65,-0.000006,,,,,,
0.666667,-0.000893,,,,,,
0.683333,-0.00168,,,,,,
0.7,-0.001468,,,,,,
0.716667,0.000286,,,,,,
0.733333,0.001209,,,,,,
0.75,0.001492,,,,,,
0.766667,0.001976,,,,,,
0.783333,0.00176,,,,,,
0.8,0.000434,,,,,,
0.816667,0.000678,,,,,,
0.833333,0.001612,,,,,,
0.85,0.000657,,,,,,
0.866667,-0.000387,,,,,,
0.883333,-0.000662,,,,,,
0.9,-0.000916,,,,,,
0.916667,-0.000779,,,,,,
0.933333,0.000588,,,,,,
0.95,0.002314,,,,,,
0.966667,0.002019,,,,,,
0.983333,0.001661,,,,,,
1,0.000513,,,,,,
1.016667,-0.000666,,,,,,
1.033333,-0.000205,,,,,,
1.05,-0.000102,,,,,,
