DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,-0.001167,,,0.036928,-10.571202,0.26937,-10.049689
0.1,-0.002155,,,0.26937,-10.568794,0.504647,-10.363652
0.116667,-0.002863,,,0.504647,-10.56095,0.742759,-11.016911
0.133333,-0.003261,,,0.742759,-10.539562,0.983707,-10.663747
0.15,-0.003699,,,0.983707,-10.411841,1.227491,-4.983736
0.166667,-0.002947,,,1.227491,-5.004958,1.474109,-0.480736
0.183333,-0.001805,,,1.474109,-0.131277,1.723563,0.503468
0.2,-0.001842,,,1.723563,-0.027458,1.975853,-0.143319
0.216667,-0.001529,,,1.975853,-0.010961,2.230977,-0.610692
0.233333,0.001014,,,2.230977,-0.005162,2.488937,-0.266785
0.25,0.000777,,,2.488937,-0.002307,2.749733,-0.228068
0.266667,0.00184,,,2.749733,-0.000571,3.013364,-1.552127
0.283333,0.002084,,,3.013364,0.000659,3.27983,-0.426422
0.3,0.00232,,,3.27983,0.001634,3.549131,-2.272304
0.316667,-0.000054,,,3.549131,0.002473,3.821268,-2.140143
0.333333,-0.000328,,,3.821268,0.00324,,
0.35,-0.000842,,,,,,
0.366667,-0.000846,,,,,,
0.383333,-0.00106,,,,,,
0.4,-0.000679,,,,,,
0.416667,-0.000748,,,,,,
0.433333,-0.001117,,,,,,
0.45,0.000374,,,,,,
0.466667,0.000965,,,,,,
0.483333,0.002596,,,,,,
0.5,0.003694,,,,,,
0.516667,0.004992,,,,,,
0.533333,0.004749,,,,,,
0.55,0.005077,,,,,,
0.566667,0.004315,,,,,,
0.583333,0.003802,,,,,,
0.6,0.002567,,,,,,
0.616667,0.001471,,,,,,
0.633333,0.001546,,,,,,
0.65,0.001921,,,,,,
0.666667,0.001756,,,,,,
0.683333,0.0017,,,,,,
0.7,0.00195,,,,,,
0.716667,0.00066,,,,,,
0.733333,-0.0005,,,,,,
0.75,-0.00125,,,,,,
0.766667,-0.00078,,,,,,
0.783333,-0.00009,,,,,,
0.8,0.000692,,,,,,
0.816667,0.001445,,,,,,
0.833333,0.002238,,,,,,
0.85,0,,,,,,
0.866667,-0.004127,,,,,,
0.883333,-0.006235,,,,,,
0.9,-0.006432,,,,,,
0.916667,-0.006089,,,,,,
0.933333,-0.004077,,,,,,
0.95,-0.000464,,,,,,
0.966667,0.000439,,,,,,
0.983333,-0.000198,,,,,,
1,-0.000216,,,,,,
1.016667,-0.000494,,,,,,
1.033333,-0.000352,,,,,,
1.05,0.00092,,,,,,
1.066667,0.000032,,,,,,
1.083333,-0.001426,,,,,,
1.1,-0.002135,,,,,,
1.116667,-0.003804,,,,,,
1.133333,-0.007412,,,,,,
1.15,-0.009601,,,,,,
1.166667,-0.01191,,,,,,
1.183333,-0.013958,,,,,,
1.2,-0.014958,,,,,,
1.216667,-0.014597,,,,,,
1.233333,-0.013646,,,,,,
1.25,-0.012296,,,,,,
1.266667,-0.010985,,,,,,
1.283333,-0.010514,,,,,,
1.3,-0.009594,,,,,,
1.316667,-0.008944,,,,,,
1.333333,-0.008204,,,,,,
1.35,-0.007524,,,,,,
1.366667,-0.007054,,,,,,
1.383333,-0.007924,,,,,,
1.4,-0.007655,,,,,,
1.416667,-0.007755,,,,,,
1.433333,-0.009266,,,,,,
1.45,-0.009456,,,,,,
1.466667,-0.009257,,,,,,
1.483333,-0.009387,,,,,,
1.5,-0.009218,,,,,,
1.516667,-0.006899,,,,,,
1.533333,-0.005631,,,,,,
1.55,-0.003962,,,,,,
1.566667,-0.002233,,,,,,
1.583333,-0.001814,,,,,,
1.6,-0.001255,,,,,,
1.616667,-0.000937,,,,,,
1.633333,0.000761,,,,,,
1.65,0.00093,,,,,,
1.666667,0.001588,,,,,,
1.683333,0.000537,,,,,,
1.7,-0.000876,,,,,,
1.716667,-0.004068,,,,,,
1.733333,-0.00656,,,,,,
1.75,-0.007772,,,,,,
1.766667,-0.007674,,,,,,
1.783333,-0.007286,,,,,,
1.8,-0.005659,,,,,,
1.816667,-0.004371,,,,,,
1.833333,-0.003924,,,,,,
1.85,-0.004196,,,,,,
1.866667,-0.004269,,,,,,
1.883333,-0.003951,,,,,,
1.9,-0.003484,,,,,,
1.916667,-0.003777,,,,,,
1.933333,-0.00375,,,,,,
1.95,-0.003453,,,,,,
1.966667,-0.003136,,,,,,
