DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,0.00065,,,,,0.26937,0.470469
0.1,-0.000664,,,,,0.504647,0.904502
0.116667,-0.001877,,,,,0.742759,0.825612
0.133333,-0.00225,,,,,0.983707,-0.273392
0.15,-0.001663,,,,,1.227491,-0.532286
0.166667,0.000354,,,,,1.474109,0.755248
0.183333,0.001971,,,,,1.723563,0.331528
0.2,0.002709,,,,,1.975853,-0.128345
0.216667,0.003236,,,,,2.230977,0.453986
0.233333,0.002743,,,,,2.488937,-0.051397
0.25,0.001941,,,,,2.749733,0.30254
0.266667,0.001318,,,,,3.013364,0.388078
0.283333,0.001076,,,,,3.27983,0.221979
0.3,0.000153,,,,,3.549131,0.89394
0.316667,0.00047,,,,,3.821268,0.972033
0.333333,0.000017,,,,,,
0.35,0.000544,,,,,,
0.366667,0.000332,,,,,,
0.383333,-0.000061,,,,,,
0.4,0.000064,,,,,,
0.416667,-0.001152,,,,,,
0.433333,-0.002057,,,,,,
0.45,-0.001512,,,,,,
0.466667,-0.000217,,,,,,
0.483333,0.000128,,,,,,
0.5,0.001048,,,,,,
0.516667,0.000649,,,,,,
0.533333,-0.000261,,,,,,
0.55,-0.001101,,,,,,
0.566667,-0.00306,,,,,,
0.583333,-0.00427,,,,,,
0.6,-0.006014,,,,,,
0.616667,-0.006039,,,,,,
0.633333,-0.007794,,,,,,
0.65,-0.008199,,,,,,
0.666667,-0.006874,,,,,,
0.683333,-0.004069,,,,,,
0.7,-0.003765,,,,,,
0.716667,-0.001372,,,,,,
0.733333,0.000332,,,,,,
0.75,0.000166,,,,,,
0.766667,-0.00065,,,,,,
0.783333,-0.000127,,,,,,
0.8,-0.001415,,,,,,
0.816667,-0.003233,,,,,,
0.833333,-0.001201,,,,,,
0.85,0.00337,,,,,,
0.866667,0.007712,,,,,,
0.883333,0.012984,,,,,,
0.9,0.016503,,,,,,
0.916667,0.015642,,,,,,
0.933333,0.010561,,,,,,
0.95,0.00489,,,,,,
0.966667,-0.000801,,,,,,
0.983333,-0.003232,,,,,,
1,-0.006846,,,,,,
1.016667,-0.00868,,,,,,
1.033333,-0.011273,,,,,,
1.05,-0.010726,,,,,,
1.066667,-0.01088,,,,,,
1.083333,-0.009093,,,,,,
1.1,-0.006833,,,,,,
1.116667,-0.003613,,,,,,
1.133333,-0.002572,,,,,,
1.15,-0.002662,,,,,,
1.166667,-0.001871,,,,,,
1.183333,-0.002471,,,,,,
1.2,-0.002831,,,,,,
1.216667,-0.00199,,,,,,
1.233333,-0.00002,,,,,,
1.25,0.000811,,,,,,
1.266667,0.001712,,,,,,
1.283333,0.001902,,,,,,
1.3,0.000389,,,,,,
1.316667,-0.000745,,,,,,
1.333333,-0.000458,,,,,,
1.35,-0.000731,,,,,,
1.366667,-0.001654,,,,,,
1.383333,-0.001367,,,,,,
1.4,-0.000948,,,,,,
1.416667,-0.001588,,,,,,
1.433333,-0.001329,,,,,,
1.45,-0.000769,,,,,,
1.466667,-0.00207,,,,,,
1.483333,-0.00341,,,,,,
1.5,-0.004172,,,,,,
1.516667,-0.004434,,,,,,
1.533333,-0.004045,,,,,,
1.55,-0.003127,,,,,,
1.566667,-0.001829,,,,,,
1.583333,-0.001891,,,,,,
1.6,-0.002447,,,,,,
1.616667,-0.003333,,,,,,
1.633333,-0.00283,,,,,,
1.65,-0.002967,,,,,,
1.666667,-0.002893,,,,,,
1.683333,-0.00159,,,,,,
1.7,0.000116,,,,,,
1.716667,-0.00026,,,,,,
1.733333,-0.000835,,,,,,
1.75,-0.00119,,,,,,
1.766667,-0.001745,,,,,,
1.783333,-0.002501,,,,,,
1.8,-0.002587,,,,,,
1.816667,-0.003884,,,,,,
1.833333,-0.003391,,,,,,
1.85,-0.003748,,,,,,
1.866667,-0.004245,,,,,,
1.883333,-0.003982,,,,,,
1.9,-0.00252,,,,,,
1.916667,-0.001659,,,,,,
1.933333,-0.000698,,,,,,
1.95,0.000323,,,,,,
1.966667,0.001044,,,,,,
1.983333,0.000915,,,,,,
2,0.001287,,,,,,
2.016667,0.000899,,,,,,
2.033333,0.000241,,,,,,
2.05,0.001413,,,,,,
2.066667,0.002045,,,,,,
2.083333,0.001576,,,,,,
2.1,0.000752,,,,,,
