20200607xRBBxNBTY1x02Fit_X,20200607xRBBxNBTY1x02Fit_Y,20200607xRBBxNBTY1x02_X,20200607xRBBxNBTY1x02_Y,20200607xRBDxNBTY1x03Fit_X,20200607xRBDxNBTY1x03Fit_Y,20200607xRBDxNBTY1x03_X,20200607xRBDxNBTY1x03_Y,20200607xRBDxNBVH52x01Fit_X,20200607xRBDxNBVH52x01Fit_Y,20200607xRBDxNBVH52x01_X,20200607xRBDxNBVH52x01_Y,20200607xRBBxNBTY1x02_ctrlFit_X,20200607xRBBxNBTY1x02_ctrlFit_Y,20200607xRBBxNBTY1x02_ctrl_X,20200607xRBBxNBTY1x02_ctrl_Y,20200607xRBDxNBTY1x03_ctrlFit_X,20200607xRBDxNBTY1x03_ctrlFit_Y,20200607xRBDxNBTY1x03_ctrl_X,20200607xRBDxNBTY1x03_ctrl_Y
0.036928,-9.899104,0.26937,-10.542344,0.036928,-10.571202,0.26937,-10.049689,,,0.26937,0.470469,,,0.26937,1.324213,,,0.26937,1.300194
0.26937,-9.878834,0.504647,-8.96479,0.26937,-10.568794,0.504647,-10.363652,,,0.504647,0.904502,,,0.504647,0.624432,,,0.504647,1.562466
0.504647,-9.822461,0.742759,-10.466866,0.504647,-10.56095,0.742759,-11.016911,,,0.742759,0.825612,,,0.742759,1.073431,,,0.742759,1.470722
0.742759,-9.701736,0.983707,-9.207949,0.742759,-10.539562,0.983707,-10.663747,,,0.983707,-0.273392,,,0.983707,0.776633,,,0.983707,1.156689
0.983707,-9.373523,1.227491,-7.422987,0.983707,-10.411841,1.227491,-4.983736,,,1.227491,-0.532286,,,1.227491,0.811549,,,1.227491,1.409237
1.227491,-8.102194,1.474109,-4.776709,1.227491,-5.004958,1.474109,-0.480736,,,1.474109,0.755248,,,1.474109,0.263478,,,1.474109,0.684567
1.474109,-4.173096,1.723563,-0.639725,1.474109,-0.131277,1.723563,0.503468,,,1.723563,0.331528,,,1.723563,0.0548,,,1.723563,0.633525
1.723563,-1.212704,1.975853,-0.060982,1.723563,-0.027458,1.975853,-0.143319,,,1.975853,-0.128345,,,1.975853,0.492806,,,1.975853,0.84744
1.975853,-0.4701,2.230977,0.310602,1.975853,-0.010961,2.230977,-0.610692,,,2.230977,0.453986,,,2.230977,0.319847,,,2.230977,0.921682
2.230977,-0.257883,2.488937,0.225526,2.230977,-0.005162,2.488937,-0.266785,,,2.488937,-0.051397,,,2.488937,0.353694,,,2.488937,0.826454
2.488937,-0.173446,2.749733,1.016697,2.488937,-0.002307,2.749733,-0.228068,,,2.749733,0.30254,,,2.749733,0.123396,,,2.749733,0.524315
2.749733,-0.13193,3.013364,-0.450222,2.749733,-0.000571,3.013364,-1.552127,,,3.013364,0.388078,,,3.013364,0.973762,,,3.013364,1.466755
3.013364,-0.1085,3.27983,-0.30675,3.013364,0.000659,3.27983,-0.426422,,,3.27983,0.221979,,,3.27983,0.743901,,,3.27983,0.990458
3.27983,-0.093925,3.549131,-1.41582,3.27983,0.001634,3.549131,-2.272304,,,3.549131,0.89394,,,3.549131,0.938432,,,3.549131,2.107981
3.549131,-0.084168,3.821268,-0.959421,3.549131,0.002473,3.821268,-2.140143,,,3.821268,0.972033,,,3.821268,1.445189,,,3.821268,2.60487
3.821268,-0.077244,,,3.821268,0.00324,,,,,,,,,,,,,,
