20200607xRBDxNBTY1x01_X,20200607xRBDxNBTY1x01_Y,20200607xRBBxNBTY1x02_X,20200607xRBBxNBTY1x02_Y,20200607xRBDxNBTY1x03_X,20200607xRBDxNBTY1x03_Y,20200607xRBDxNBVH52x01_X,20200607xRBDxNBVH52x01_Y,20200607xRBBxNBTY1x02_ctrl_X,20200607xRBBxNBTY1x02_ctrl_Y,20200607xRBDxNBTY1x03_ctrl_X,20200607xRBDxNBTY1x03_ctrl_Y
0.083333,0,0.083333,0,0.083333,0,0.083333,0,0.083333,0,0.083333,0
0.1,0.00084,0.1,-0.00015,0.1,-0.00102,0.1,-0.00132,0.1,0.00108,0.1,0.00108
0.116667,0.00377,0.116667,0.00071,0.116667,-0.00176,0.116667,-0.00254,0.116667,0.00178,0.116667,0.00178
0.133333,0.00646,0.133333,0.00125,0.133333,-0.00219,0.133333,-0.00292,0.133333,0.00255,0.133333,0.00255
0.15,0.00658,0.15,0.00121,0.15,-0.00266,0.15,-0.00234,0.15,0.00286,0.15,0.00286
0.166667,0.00586,0.166667,0.00189,0.166667,-0.00194,0.166667,-0.00033,0.166667,0.00291,0.166667,0.00291
0.183333,0.00475,0.183333,0.0018,0.183333,-0.00083,0.183333,0.00128,0.183333,0.00312,0.183333,0.00312
0.2,0.00205,0.2,0.00132,0.2,-0.0009,0.2,0.00201,0.2,0.00276,0.2,0.00276
0.216667,0.00036,0.216667,0.00144,0.216667,-0.00062,0.216667,0.00253,0.216667,0.0029,0.216667,0.0029
0.233333,-0.00034,0.233333,0.00118,0.233333,0.00189,0.233333,0.00203,0.233333,0.00261,0.233333,0.00261
0.25,0.00012,0.25,-0.00039,0.25,0.00162,0.25,0.00122,0.25,0.00299,0.25,0.00299
0.266667,0.00107,0.266667,-0.00036,0.266667,0.00265,0.266667,0.00059,0.266667,0.00334,0.266667,0.00334
0.283333,0.00233,0.283333,0.00004,0.283333,0.00286,0.283333,0.00034,0.283333,0.00369,0.283333,0.00369
0.3,0.00237,0.3,0.00012,0.3,0.00306,0.3,-0.00059,0.3,0.00257,0.3,0.00257
0.316667,0.00367,0.316667,-0.00014,0.316667,0.00065,0.316667,-0.00028,0.316667,0.00164,0.316667,0.00164
0.333333,0.00426,0.333333,0.00098,0.333333,0.00034,0.333333,-0.00074,0.333333,0.00039,0.333333,0.00039
0.35,0.00452,0.35,0.0011,0.35,-0.00021,0.35,-0.00022,0.35,-0.0015,0.35,-0.0015
0.366667,0.00511,0.366667,0.00129,0.366667,-0.00025,0.366667,-0.00044,0.366667,-0.00186,0.366667,-0.00186
0.383333,0.0063,0.383333,0.00184,0.383333,-0.0005,0.383333,-0.00084,0.383333,-0.00104,0.383333,-0.00104
0.4,0.00562,0.4,0.00255,0.4,-0.00016,0.4,-0.00072,0.4,-0.00056,0.4,-0.00056
0.416667,0.00528,0.416667,0.00294,0.416667,-0.00027,0.416667,-0.00194,0.416667,0.00011,0.416667,0.00011
0.433333,0.00522,0.433333,0.00366,0.433333,-0.00068,0.433333,-0.00285,0.433333,0.00126,0.433333,0.00126
0.45,0.00728,0.45,0.00373,0.45,0.00077,0.45,-0.00231,0.45,0.00194,0.45,0.00194
0.466667,0.0075,0.466667,0.00391,0.466667,0.00132,0.466667,-0.00102,0.466667,0.00126,0.466667,0.00126
0.483333,0.00813,0.483333,0.00388,0.483333,0.00291,0.483333,-0.00068,0.483333,0.00119,0.483333,0.00119
0.5,0.00705,0.5,0.00317,0.5,0.00396,0.5,0.00024,0.5,0.00097,0.5,0.00097
0.516667,0.0048,0.516667,-0.00048,0.516667,0.00521,0.516667,-0.00016,0.516667,0.00089,0.516667,0.00089
0.533333,0.00172,0.533333,-0.00306,0.533333,0.00492,0.533333,-0.00107,0.533333,0.00007,0.533333,0.00007
0.55,0.0004,0.55,-0.00518,0.55,0.0052,0.55,-0.00191,0.55,-0.00022,0.55,-0.00022
0.566667,0.00008,0.566667,-0.00611,0.566667,0.00439,0.566667,-0.00387,0.566667,-0.00066,0.566667,-0.00066
0.583333,-0.00062,0.583333,-0.00579,0.583333,0.00383,0.583333,-0.00508,0.583333,-0.00032,0.583333,-0.00032
0.6,-0.00112,0.6,-0.00288,0.6,0.00254,0.6,-0.00682,0.6,-0.00066,0.6,-0.00066
0.616667,-0.00232,0.616667,0,0.616667,0.00139,0.616667,-0.00684,0.616667,-0.00087,0.616667,-0.00087
0.633333,-0.00254,0.633333,0.00079,0.633333,0.00141,0.633333,-0.00859,0.633333,-0.00106,0.633333,-0.00106
0.65,-0.0028,0.65,0.00056,0.65,0.00173,0.65,-0.00899,0.65,-0.00098,0.65,-0.00098
0.666667,-0.00222,0.666667,-0.00034,0.666667,0.00151,0.666667,-0.00766,0.666667,-0.00111,0.666667,-0.00111
0.683333,-0.00155,0.683333,-0.00114,0.683333,0.0014,0.683333,-0.00485,0.683333,-0.00121,0.683333,-0.00121
0.7,0.00037,0.7,-0.00094,0.7,0.00159,0.7,-0.00454,0.7,-0.00032,0.7,-0.00032
0.716667,0.0014,0.716667,0.0008,0.716667,0.00024,0.716667,-0.00214,0.716667,-0.00021,0.716667,-0.00021
0.733333,0.00115,0.733333,0.00171,0.733333,-0.00098,0.733333,-0.00043,0.733333,0.00144,0.733333,0.00144
0.75,0.00118,0.75,0.00198,0.75,-0.00179,0.75,-0.00059,0.75,0.00161,0.75,0.00161
0.766667,0.00084,0.766667,0.00245,0.766667,-0.00138,0.766667,-0.0014,0.766667,0.00142,0.766667,0.00142
0.783333,0.00011,0.783333,0.00222,0.783333,-0.00075,0.783333,-0.00087,0.783333,0.00096,0.783333,0.00096
0.8,-0.00046,0.8,0.00088,0.8,-0.00003,0.8,-0.00216,0.8,0.00046,0.8,0.00046
0.816667,-0.00051,0.816667,0.00111,0.816667,0.00066,0.816667,-0.00398,0.816667,-0.00122,0.816667,-0.00122
0.833333,-0.00099,0.833333,0.00203,0.833333,0.00139,0.833333,-0.00195,0.833333,-0.00198,0.833333,-0.00198
0.85,0.00026,0.85,0.00106,0.85,-0.00091,0.85,0.00262,0.85,-0.00116,0.85,-0.00116
0.866667,-0.00002,0.866667,0,0.866667,-0.0051,0.866667,0.00696,0.866667,-0.00155,0.866667,-0.00155
0.883333,-0.00048,0.883333,-0.00029,0.883333,-0.00727,0.883333,0.01223,0.883333,-0.00049,0.883333,-0.00049
0.9,0.00027,0.9,-0.00056,0.9,-0.00753,0.9,0.01573,0.9,0.00067,0.9,0.00067
0.916667,0.00268,0.916667,-0.00044,0.916667,-0.00725,0.916667,0.01485,0.916667,0.00106,0.916667,0.00106
0.933333,0.00377,0.933333,0.00091,0.933333,-0.0053,0.933333,0.00975,0.933333,0.00019,0.933333,0.00019
0.95,0.00648,0.95,0.00262,0.95,-0.00175,0.95,0.00406,0.95,-0.00027,0.95,-0.00027
0.966667,0.00677,0.966667,0.00276,0.966667,-0.00091,0.966667,-0.00165,0.966667,-0.00192,0.966667,-0.00192
0.983333,0.005,0.983333,0.00328,0.983333,-0.00161,0.983333,-0.0041,0.983333,-0.00338,0.983333,-0.00338
1,0.00343,1,0.00301,1,-0.00169,1,-0.00775,1,-0.00357,1,-0.00357
1.016667,0.00295,1.016667,0.00271,1.016667,-0.00203,1.016667,-0.00962,1.016667,-0.00406,1.016667,-0.00406
1.033333,0.00116,1.033333,0.00305,1.033333,-0.00195,1.033333,-0.01225,1.033333,-0.00325,1.033333,-0.00325
1.05,0.00539,1.05,0.00271,1.05,-0.00074,1.05,-0.01174,1.05,0.00169,1.05,0.00169
1.066667,0.00801,1.066667,-0.00083,1.066667,-0.00169,1.066667,-0.01193,1.066667,0.00583,1.066667,0.00583
1.083333,0.00579,1.083333,-0.00374,1.083333,-0.00321,1.083333,-0.01018,1.083333,0.00719,1.083333,0.00719
1.1,0.00234,1.1,-0.00743,1.1,-0.00398,1.1,-0.00797,1.1,0.00762,1.1,0.00762
1.116667,-0.00149,1.116667,-0.01288,1.116667,-0.00571,1.116667,-0.0048,1.116667,0.0063,1.116667,0.0063
1.133333,-0.00764,1.133333,-0.01536,1.133333,-0.00938,1.133333,-0.00381,1.133333,0.00095,1.133333,0.00095
1.15,-0.0116,1.15,-0.01557,1.15,-0.01163,1.15,-0.00395,1.15,-0.00561,1.15,-0.00561
1.166667,-0.01284,1.166667,-0.01674,1.166667,-0.014,1.166667,-0.00321,1.166667,-0.00925,1.166667,-0.00925
1.183333,-0.0131,1.183333,-0.01645,1.183333,-0.01611,1.183333,-0.00386,1.183333,-0.00994,1.183333,-0.00994
1.2,-0.01245,1.2,-0.01498,1.2,-0.01717,1.2,-0.00428,1.2,-0.00971,1.2,-0.00971
1.216667,-0.01221,1.216667,-0.01321,1.216667,-0.01687,1.216667,-0.0035,1.216667,-0.00836,1.216667,-0.00836
1.233333,-0.01068,1.233333,-0.01154,1.233333,-0.01598,1.233333,-0.00159,1.233333,-0.00495,1.233333,-0.00495
1.25,-0.00826,1.25,-0.00808,1.25,-0.01469,1.25,-0.00082,1.25,-0.00295,1.25,-0.00295
1.266667,-0.0073,1.266667,-0.00455,1.266667,-0.01344,1.266667,0.00002,1.266667,-0.0027,1.266667,-0.0027
1.283333,-0.00512,1.283333,-0.00366,1.283333,-0.01303,1.283333,0.00015,1.283333,-0.00281,1.283333,-0.00281
1.3,-0.00417,1.3,-0.00255,1.3,-0.01217,1.3,-0.00143,1.3,-0.00383,1.3,-0.00383
1.316667,-0.00385,1.316667,-0.00104,1.316667,-0.01158,1.316667,-0.00263,1.316667,-0.00437,1.316667,-0.00437
1.333333,-0.00324,1.333333,-0.00032,1.333333,-0.0109,1.333333,-0.00241,1.333333,-0.00365,1.333333,-0.00365
1.35,-0.00175,1.35,0.00049,1.35,-0.01028,1.35,-0.00275,1.35,-0.00317,1.35,-0.00317
1.366667,-0.00107,1.366667,0.00189,1.366667,-0.00987,1.366667,-0.00374,1.366667,-0.00253,1.366667,-0.00253
1.383333,0.00111,1.383333,0.00211,1.383333,-0.0108,1.383333,-0.00352,1.383333,-0.00232,1.383333,-0.00232
1.4,0.00147,1.4,0.00201,1.4,-0.01059,1.4,-0.00317,1.4,-0.00318,1.4,-0.00318
1.416667,0.00105,1.416667,0.00167,1.416667,-0.01075,1.416667,-0.00388,1.416667,-0.00449,1.416667,-0.00449
1.433333,0.00067,1.433333,0.00044,1.433333,-0.01232,1.433333,-0.00369,1.433333,-0.00437,1.433333,-0.00437
1.45,0.00061,1.45,0.00234,1.45,-0.01257,1.45,-0.0032,1.45,-0.00409,1.45,-0.00409
1.466667,-0.00126,1.466667,0.00469,1.466667,-0.01243,1.466667,-0.00457,1.466667,-0.00293,1.466667,-0.00293
1.483333,-0.0014,1.483333,0.00693,1.483333,-0.01262,1.483333,-0.00598,1.483333,-0.00249,1.483333,-0.00249
1.5,-0.00135,1.5,0.00824,1.5,-0.01251,1.5,-0.00681,1.5,-0.00214,1.5,-0.00214
1.516667,-0.0014,1.516667,0.01003,1.516667,-0.01025,1.516667,-0.00714,1.516667,-0.00181,1.516667,-0.00181
1.533333,-0.00195,1.533333,0.01018,1.533333,-0.00904,1.533333,-0.00682,1.533333,-0.00222,1.533333,-0.00222
1.55,-0.00235,1.55,0.00893,1.55,-0.00743,1.55,-0.00597,1.55,-0.00274,1.55,-0.00274
1.566667,-0.00307,1.566667,0.00804,1.566667,-0.00576,1.566667,-0.00474,1.566667,-0.00216,1.566667,-0.00216
1.583333,-0.00209,1.583333,0.00856,1.583333,-0.0054,1.583333,-0.00487,1.583333,-0.00184,1.583333,-0.00184
1.6,-0.00067,1.6,0.00767,1.6,-0.0049,1.6,-0.00549,1.6,-0.00276,1.6,-0.00276
1.616667,-0.00016,1.616667,0.00478,1.616667,-0.00464,1.616667,-0.00644,1.616667,-0.00277,1.616667,-0.00277
1.633333,0.0001,1.633333,0.00234,1.633333,-0.003,1.633333,-0.006,1.633333,-0.00304,1.633333,-0.00304
1.65,0.00046,1.65,0.00045,1.65,-0.00289,1.65,-0.0062,1.65,-0.00421,1.65,-0.00421
1.666667,-0.00126,1.666667,-0.00205,1.666667,-0.00229,1.666667,-0.00619,1.666667,-0.00415,1.666667,-0.00415
1.683333,-0.00332,1.683333,-0.00351,1.683333,-0.0034,1.683333,-0.00495,1.683333,-0.00285,1.683333,-0.00285
1.7,-0.0045,1.7,-0.00357,1.7,-0.00487,1.7,-0.0033,1.7,-0.00208,1.7,-0.00208
1.716667,-0.00515,1.716667,-0.00278,1.716667,-0.00812,1.716667,-0.00373,1.716667,-0.00255,1.716667,-0.00255
1.733333,-0.0049,1.733333,-0.00357,1.733333,-0.01067,1.733333,-0.00436,1.733333,-0.00161,1.733333,-0.00161
1.75,-0.00478,1.75,-0.00287,1.75,-0.01194,1.75,-0.00477,1.75,-0.00214,1.75,-0.00214
1.766667,-0.00499,1.766667,-0.00223,1.766667,-0.0119,1.766667,-0.00538,1.766667,-0.00251,1.766667,-0.00251
1.783333,-0.00572,1.783333,-0.00256,1.783333,-0.01157,1.783333,-0.00619,1.783333,-0.00306,1.783333,-0.00306
1.8,-0.00619,1.8,-0.00411,1.8,-0.01,1.8,-0.00632,1.8,-0.00256,1.8,-0.00256
1.816667,-0.00605,1.816667,-0.00379,1.816667,-0.00877,1.816667,-0.00766,1.816667,-0.00379,1.816667,-0.00379
1.833333,-0.00468,1.833333,-0.00509,1.833333,-0.00838,1.833333,-0.00721,1.833333,-0.00422,1.833333,-0.00422
1.85,-0.00558,1.85,-0.00659,1.85,-0.00871,1.85,-0.00761,1.85,-0.00538,1.85,-0.00538
1.866667,-0.00458,1.866667,-0.00685,1.866667,-0.00884,1.866667,-0.00815,1.866667,-0.00534,1.866667,-0.00534
1.883333,-0.00317,1.883333,-0.00613,1.883333,-0.00858,1.883333,-0.00793,1.883333,-0.00487,1.883333,-0.00487
1.9,-0.00342,1.9,-0.00613,1.9,-0.00817,1.9,-0.0065,1.9,-0.00427,1.9,-0.00427
1.916667,-0.0039,1.916667,-0.00508,1.916667,-0.00852,1.916667,-0.00567,1.916667,-0.0039,1.916667,-0.0039
1.933333,-0.00127,1.933333,-0.0038,1.933333,-0.00855,1.933333,-0.00474,1.933333,-0.00315,1.933333,-0.00315
1.95,-0.00089,1.95,-0.00172,1.95,-0.00831,1.95,-0.00375,1.95,-0.00298,1.95,-0.00298
1.966667,-0.00205,1.966667,0.0001,1.966667,-0.00805,1.966667,-0.00306,1.966667,-0.0038,1.966667,-0.0038
1.983333,-0.00327,1.983333,0.00062,1.983333,-0.00736,1.983333,-0.00322,1.983333,-0.00355,1.983333,-0.00355
2,-0.00402,2,-0.00081,2,-0.00657,2,-0.00287,2,-0.00313,2,-0.00313
2.016667,-0.00522,2.016667,-0.002,2.016667,-0.0063,2.016667,-0.00328,2.016667,-0.00413,2.016667,-0.00413
2.033333,-0.00524,2.033333,-0.00415,2.033333,-0.00742,2.033333,-0.00396,2.033333,-0.00553,2.033333,-0.00553
2.05,-0.00361,2.05,-0.00544,2.05,-0.00867,2.05,-0.00281,2.05,-0.00569,2.05,-0.00569
2.066667,-0.00322,2.066667,-0.00734,2.066667,-0.01,2.066667,-0.0022,2.066667,-0.00561,2.066667,-0.00561
2.083333,-0.00326,2.083333,-0.00819,2.083333,-0.00916,2.083333,-0.00269,2.083333,-0.00509,2.083333,-0.00509
2.1,-0.00301,2.1,-0.00929,2.1,-0.00865,2.1,-0.00353,2.1,-0.00377,2.1,-0.00377
2.116667,-0.00234,2.116667,-0.00916,2.116667,-0.00768,2.116667,-0.00477,2.116667,-0.00292,2.116667,-0.00292
2.133333,-0.00276,2.133333,-0.01044,2.133333,-0.00711,2.133333,-0.00879,2.133333,-0.0021,2.133333,-0.0021
2.15,-0.00151,2.15,-0.01054,2.15,-0.00666,2.15,-0.01146,2.15,-0.00206,2.15,-0.00206
2.166667,-0.00157,2.166667,-0.00937,2.166667,-0.00827,2.166667,-0.01479,2.166667,-0.0022,2.166667,-0.0022
2.183333,-0.00283,2.183333,-0.00888,2.183333,-0.0098,2.183333,-0.01662,2.183333,-0.00217,2.183333,-0.00217
2.2,-0.00515,2.2,-0.00907,2.2,-0.00985,2.2,-0.01566,2.2,-0.00203,2.2,-0.00203
