Conc1	3.06E-08	
Start1	816.63	
Stop1	5316.44	
Kobs	0.00882385166915143	
Error Kobs	0.000126939907241016	
Koff	0.00368597147314109	
Error Koff	1.67009544691252E-05	
Time1	Data1	Fit1	
816.63	-0.00132246	-0.00132246	
816.83	-0.00056703	-0.00085592	
817.03	-0.0001892	-0.0003902	
817.23	0.00014861	0.0000747	
817.43	0.00050283	0.00053878	
817.63	0.00114989	0.00100204	
817.83	0.00225942	0.00146449	
818.03	0.00316997	0.00192611	
818.23	0.00413197	0.00238693	
818.43	0.0047458	0.00284693	
818.63	0.00555488	0.00330612	
818.83	0.00654417	0.00376451	
819.03	0.00784478	0.00422208	
819.23	0.00898137	0.00467885	
819.43	0.0093817	0.00513481	
819.63	0.01007836	0.00558997	
819.83	0.01109602	0.00604432	
820.03	0.01186586	0.00649788	
820.23	0.01331411	0.00695063	
820.43	0.01474311	0.00740259	
820.63	0.0156632	0.00785375	
820.83	0.01638399	0.00830411	
821.03	0.01672281	0.00875368	
821.23	0.01745209	0.00920246	
821.43	0.01833074	0.00965044	
821.63	0.01937057	0.01009764	
821.83	0.02031121	0.01054404	
822.03	0.02096854	0.01098966	
822.23	0.02132962	0.0114345	
822.43	0.02185494	0.01187855	
822.63	0.02289452	0.01232182	
822.83	0.02387439	0.0127643	
823.03	0.02467532	0.01320601	
823.23	0.02516421	0.01364693	
823.43	0.02590221	0.01408708	
823.63	0.02720187	0.01452646	
823.83	0.02839988	0.01496505	
824.03	0.02880886	0.01540288	
824.23	0.02978953	0.01583993	
824.43	0.0302129	0.01627621	
824.63	0.03018284	0.01671173	
824.83	0.03038474	0.01714647	
825.03	0.03102341	0.01758045	
825.23	0.03158065	0.01801366	
825.43	0.03202798	0.01844611	
825.63	0.03221608	0.0188778	
825.83	0.03248894	0.01930873	
826.03	0.0331988	0.01973889	
826.23	0.03390278	0.0201683	
826.43	0.03492138	0.02059695	
826.63	0.03518915	0.02102484	
826.83	0.03628188	0.02145199	
827.03	0.03733955	0.02187837	
827.23	0.03837069	0.02230401	
827.43	0.03963739	0.02272889	
827.63	0.04122301	0.02315303	
827.83	0.04193814	0.02357642	
828.03	0.04275777	0.02399906	
828.23	0.04392404	0.02442095	
828.43	0.04424956	0.0248421	
828.63	0.04449719	0.02526251	
828.83	0.04519073	0.02568218	
829.03	0.0457894	0.02610111	
829.23	0.04605056	0.0265193	
829.43	0.04619992	0.02693675	
829.63	0.04633798	0.02735347	
829.83	0.04650513	0.02776945	
830.03	0.04708135	0.0281847	
830.23	0.04762364	0.02859921	
830.43	0.0481191	0.029013	
830.63	0.04834932	0.02942605	
830.83	0.04982266	0.02983838	
831.03	0.05036139	0.03024998	
831.23	0.05090862	0.03066086	
831.43	0.05166522	0.03107101	
831.63	0.05271714	0.03148043	
831.83	0.05335366	0.03188914	
832.03	0.05411698	0.03229712	
832.23	0.05518269	0.03270439	
832.43	0.05564033	0.03311093	
832.63	0.05636296	0.03351676	
832.83	0.05650495	0.03392188	
833.03	0.05707926	0.03432628	
833.23	0.05760964	0.03472996	
833.43	0.05806082	0.03513294	
833.63	0.05884752	0.0355352	
833.83	0.05953124	0.03593676	
834.03	0.06080097	0.03633761	
834.23	0.06203098	0.03673775	
834.43	0.06290453	0.03713718	
834.63	0.06341125	0.03753591	
834.83	0.06392948	0.03793394	
835.03	0.06411898	0.03833127	
835.23	0.06483654	0.03872789	
835.43	0.06589152	0.03912382	
835.63	0.06674303	0.03951904	
835.83	0.06724539	0.03991358	
836.03	0.06748462	0.04030741	
836.23	0.0684615	0.04070055	
836.43	0.068935	0.041093	
836.63	0.06942417	0.04148476	
836.83	0.06991214	0.04187582	
837.03	0.07063453	0.0422662	
837.23	0.07124711	0.04265588	
837.43	0.07163393	0.04304488	
837.63	0.07252856	0.0434332	
837.83	0.07308385	0.04382083	
838.03	0.07359748	0.04420777	
838.23	0.07384863	0.04459404	
838.43	0.07381242	0.04497962	
838.63	0.07432938	0.04536452	
838.83	0.07452929	0.04574875	
839.03	0.07488887	0.04613229	
839.23	0.07558526	0.04651516	
839.43	0.07604071	0.04689736	
839.63	0.07627261	0.04727888	
839.83	0.07672498	0.04765973	
840.03	0.07727523	0.04803991	
840.23	0.0781374	0.04841941	
840.43	0.07896605	0.04879825	
840.63	0.07964368	0.04917642	
840.83	0.0801988	0.04955392	
841.03	0.08034156	0.04993076	
841.23	0.08090152	0.05030693	
841.43	0.08142061	0.05068244	
841.63	0.08182778	0.05105729	
841.83	0.08217495	0.05143148	
842.03	0.08256533	0.051805	
842.23	0.08351057	0.05217787	
842.43	0.08397132	0.05255008	
