Conc1	3.8E-10	
Start1	816.63	
Stop1	5316.44	
Kobs	0.003168027332595	
Error Kobs	2.86748982967161E-05	
Koff	0.00176126496965499	
Error Koff	3.14300095041105E-05	
Time1	Data1	Fit1	
816.63	-0.00075414	-0.00075414	
816.83	-0.00068792	-0.00074125	
817.03	-0.0006466	-0.00072837	
817.23	-0.00106715	-0.0007155	
817.43	-0.00152056	-0.00070263	
817.63	-0.00162369	-0.00068978	
817.83	-0.00136893	-0.00067693	
818.03	-0.00121982	-0.00066409	
818.23	-0.00126857	-0.00065126	
818.43	-0.00155529	-0.00063844	
818.63	-0.00121081	-0.00062562	
818.83	-0.00083447	-0.00061282	
819.03	-0.00066622	-0.00060002	
819.23	-0.00024846	-0.00058723	
819.43	-0.00038304	-0.00057445	
819.63	-0.00017181	-0.00056167	
819.83	0.00012926	-0.00054891	
820.03	0.00061505	-0.00053615	
820.23	0.00116204	-0.0005234	
820.43	0.00190454	-0.00051066	
820.63	0.00219521	-0.00049792	
820.83	0.00255354	-0.0004852	
821.03	0.00259133	-0.00047248	
821.23	0.00250634	-0.00045977	
821.43	0.00244695	-0.00044707	
821.63	0.00256329	-0.00043438	
821.83	0.0026845	-0.00042169	
822.03	0.00253398	-0.00040901	
822.23	0.00224065	-0.00039634	
822.43	0.00197983	-0.00038368	
822.63	0.0021054	-0.00037103	
822.83	0.00242963	-0.00035838	
823.03	0.0023176	-0.00034575	
823.23	0.00219969	-0.00033312	
823.43	0.00189448	-0.0003205	
823.63	0.00189849	-0.00030788	
823.83	0.00244882	-0.00029528	
824.03	0.00257149	-0.00028268	
824.23	0.0024565	-0.00027009	
824.43	0.00233288	-0.00025751	
824.63	0.00181516	-0.00024494	
824.83	0.00133585	-0.00023237	
825.03	0.00077147	-0.00021981	
825.23	0.00021439	-0.00020727	
825.43	0.00001604	-0.00019472	
825.63	-0.00015684	-0.00018219	
825.83	0.00003993	-0.00016966	
826.03	0.00026743	-0.00015715	
826.23	0.00035192	-0.00014464	
826.43	-0.00015689	-0.00013214	
826.63	0.00007474	-0.00011964	
826.83	0.00105529	-0.00010716	
827.03	0.00154118	-0.00009468	
827.23	0.00169056	-0.00008221	
827.43	0.0020781	-0.00006974	
827.63	0.00249102	-0.00005729	
827.83	0.00233711	-0.00004484	
828.03	0.00259349	-0.00003241	
828.23	0.00211952	-0.00001997	
828.43	0.00211793	-0.00000755	
828.63	0.00155454	0.00000486	
828.83	0.0012209	0.00001727	
829.03	0.00125883	0.00002967	
829.23	0.00158637	0.00004206	
829.43	0.0018415	0.00005444	
829.63	0.00164251	0.00006682	
829.83	0.00183354	0.00007919	
830.03	0.00160959	0.00009155	
830.23	0.00116896	0.0001039	
830.43	0.00090173	0.00011625	
830.63	0.00129101	0.00012858	
830.83	0.00165561	0.00014091	
831.03	0.00169182	0.00015323	
831.23	0.00118485	0.00016554	
831.43	0.00106394	0.00017785	
831.63	0.00074204	0.00019015	
831.83	0.00071118	0.00020244	
832.03	0.00102752	0.00021472	
832.23	0.0008831	0.00022699	
832.43	0.00125699	0.00023926	
832.63	0.00097474	0.00025152	
832.83	0.00101227	0.00026377	
833.03	0.00119048	0.00027601	
833.23	0.00168051	0.00028825	
833.43	0.00158128	0.00030048	
833.63	0.00184459	0.0003127	
833.83	0.00226227	0.00032491	
834.03	0.00222332	0.00033711	
834.23	0.00230822	0.00034931	
834.43	0.00273494	0.0003615	
834.63	0.00274259	0.00037368	
834.83	0.00297399	0.00038585	
835.03	0.00305233	0.00039802	
835.23	0.00354514	0.00041018	
835.43	0.00402988	0.00042233	
835.63	0.0044894	0.00043447	
