Conc1	2.75E-07	
Start1	816.63	
Stop1	5316.44	
Kobs	0.0012144697319719	
Error Kobs	7.87645115410958E-06	
Koff	0.00558026261851341	
Error Koff	3.73136887052298E-05	
Time1	Data1	Fit1	
816.63	0.00169174	0.00169174	
816.83	0.00457176	0.00799822	
817.03	0.00804398	0.0141415	
817.23	0.0117994	0.02012582	
817.43	0.01600167	0.02595531	
817.63	0.02109345	0.03163399	
817.83	0.02641458	0.03716579	
818.03	0.03229545	0.04255453	
818.23	0.03831107	0.04780391	
818.43	0.04425857	0.05291757	
818.63	0.05038739	0.05789903	
818.83	0.05625465	0.06275173	
819.03	0.06194708	0.06747902	
819.23	0.0677814	0.07208415	
819.43	0.07309226	0.0765703	
819.63	0.07842332	0.08094056	
819.83	0.08341418	0.08519794	
820.03	0.08859475	0.08934539	
820.23	0.09357504	0.09338575	
820.43	0.09910154	0.09732181	
820.63	0.10382395	0.10115628	
820.83	0.10798941	0.1048918	
821.03	0.11230644	0.10853094	
821.23	0.11611563	0.11207622	
821.43	0.11995273	0.11553005	
821.63	0.12354715	0.11889484	
821.83	0.12716313	0.12217288	
822.03	0.13087578	0.12536643	
822.23	0.13413765	0.1284777	
822.43	0.13744877	0.13150881	
822.63	0.14068556	0.13446185	
822.83	0.14396329	0.13733886	
823.03	0.14676907	0.1401418	
823.23	0.14975332	0.1428726	
823.43	0.15275682	0.14553314	
823.63	0.15559812	0.14812525	
823.83	0.15816017	0.15065069	
824.03	0.16087633	0.15311121	
824.23	0.16363982	0.15550849	
824.43	0.16583937	0.15784418	
824.63	0.16764259	0.16011987	
824.83	0.169538	0.16233713	
825.03	0.17162618	0.16449747	
825.23	0.17357174	0.16660238	
825.43	0.17518539	0.16865329	
825.63	0.17701283	0.17065161	
825.83	0.17877421	0.1725987	
826.03	0.18023101	0.1744959	
826.23	0.18200259	0.1763445	
826.43	0.18367826	0.17814577	
826.63	0.18515917	0.17990094	
826.83	0.18716527	0.1816112	
827.03	0.18902975	0.18327772	
827.23	0.1902838	0.18490163	
827.43	0.19232699	0.18648406	
827.63	0.19398632	0.18802606	
827.83	0.19513477	0.18952871	
828.03	0.19645076	0.19099301	
828.23	0.19708647	0.19241996	
828.43	0.19764608	0.19381053	
828.63	0.19898387	0.19516568	
