Conc1	1.02E-08	
Start1	816.63	
Stop1	5316.44	
Kobs	0.0100781904642535	
Error Kobs	3.37859364286708E-05	
Koff	0.00134568057767245	
Error Koff	2.7426154207816E-05	
Time1	Data1	Fit1	
816.63	-0.00469792	-0.00469792	
816.83	-0.00421558	-0.00441556	
817.03	-0.00395356	-0.00413375	
817.23	-0.00391002	-0.00385249	
817.43	-0.00399866	-0.00357178	
817.63	-0.00359251	-0.00329162	
817.83	-0.00336905	-0.003012	
818.03	-0.00309673	-0.00273294	
818.23	-0.0027897	-0.00245441	
818.43	-0.00270167	-0.00217643	
818.63	-0.00221068	-0.00189899	
818.83	-0.00192069	-0.0016221	
819.03	-0.00129831	-0.00134574	
819.23	-0.00069407	-0.00106992	
819.43	-0.0004743	-0.00079464	
819.63	-0.00034561	-0.0005199	
819.83	0.00034112	-0.00024569	
820.03	0.0007742	0.00002798	
820.23	0.00135962	0.00030111	
820.43	0.00225626	0.00057372	
820.63	0.00301551	0.00084579	
820.83	0.00340618	0.00111734	
821.03	0.00362703	0.00138835	
821.23	0.0036254	0.00165883	
821.43	0.00394	0.00192879	
821.63	0.00440006	0.00219822	
821.83	0.00439717	0.00246713	
822.03	0.00444382	0.00273551	
822.23	0.00404274	0.00300337	
822.43	0.00369	0.00327071	
822.63	0.0038197	0.00353752	
822.83	0.00383543	0.00380382	
823.03	0.00389261	0.00406959	
823.23	0.00415281	0.00433485	
823.43	0.00431301	0.00459959	
823.63	0.00475103	0.00486382	
823.83	0.00519779	0.00512753	
824.03	0.00548933	0.00539073	
824.23	0.00600194	0.00565341	
824.43	0.00683672	0.00591559	
824.63	0.00688716	0.00617725	
824.83	0.00705466	0.0064384	
825.03	0.00739234	0.00669904	
825.23	0.00790937	0.00695918	
825.43	0.00854023	0.00721881	
825.63	0.00919863	0.00747794	
825.83	0.00915265	0.00773656	
826.03	0.00917667	0.00799467	
826.23	0.00913659	0.00825229	
826.43	0.00932601	0.0085094	
826.63	0.00989668	0.00876601	
826.83	0.01054255	0.00902212	
