Conc1	3.4E-09	
Start1	816.63	
Stop1	5316.44	
Kobs	0.00662561056947039	
Error Kobs	5.68122809937053E-05	
Koff	0.00111613971611288	
Error Koff	1.56830625425578E-05	
Time1	Data1	Fit1	
816.63	-0.00668754	-0.00668754	
816.83	-0.00626082	-0.00657638	
817.03	-0.00596409	-0.00646535	
817.23	-0.00570406	-0.00635446	
817.43	-0.00548295	-0.00624371	
817.63	-0.00532453	-0.0061331	
817.83	-0.00487435	-0.00602262	
818.03	-0.00435489	-0.00591227	
818.23	-0.00420527	-0.00580207	
818.43	-0.00431102	-0.005692	
818.63	-0.00414099	-0.00558206	
818.83	-0.00420768	-0.00547226	
819.03	-0.00395895	-0.0053626	
819.23	-0.00348082	-0.00525307	
819.43	-0.00319063	-0.00514367	
819.63	-0.0027868	-0.00503442	
819.83	-0.0022367	-0.00492529	
820.03	-0.00173997	-0.0048163	
820.23	-0.00148279	-0.00470745	
820.43	-0.00082012	-0.00459873	
820.63	-0.00074818	-0.00449014	
820.83	-0.0007483	-0.00438168	
821.03	-0.00081299	-0.00427337	
821.23	-0.00061766	-0.00416518	
821.43	-0.00046839	-0.00405713	
821.63	-0.00037462	-0.00394921	
821.83	-0.00015243	-0.00384142	
822.03	0.00003598	-0.00373377	
822.23	-0.00080485	-0.00362624	
822.43	-0.00104475	-0.00351885	
822.63	-0.00109656	-0.0034116	
822.83	-0.00098567	-0.00330447	
823.03	-0.00075899	-0.00319748	
823.23	-0.00037868	-0.00309062	
823.43	-0.0002367	-0.00298389	
823.63	-0.00006089	-0.00287729	
823.83	0.00043411	-0.00277082	
824.03	0.00052289	-0.00266449	
824.23	0.00070329	-0.00255828	
824.43	0.00134688	-0.00245221	
824.63	0.00102371	-0.00234626	
824.83	0.00093635	-0.00224045	
825.03	0.00093132	-0.00213477	
825.23	0.0012249	-0.00202921	
825.43	0.00141948	-0.00192379	
825.63	0.00129587	-0.0018185	
825.83	0.00127506	-0.00171333	
826.03	0.00113959	-0.0016083	
826.23	0.0008086	-0.00150339	
826.43	0.00093783	-0.00139861	
826.63	0.00125753	-0.00129397	
826.83	0.00162733	-0.00118945	
827.03	0.0021117	-0.00108506	
827.23	0.00213541	-0.00098079	
827.43	0.00280262	-0.00087666	
827.63	0.00332154	-0.00077265	
827.83	0.00353714	-0.00066877	
828.03	0.00424115	-0.00056502	
828.23	0.00441997	-0.0004614	
828.43	0.00438869	-0.0003579	
828.63	0.00389582	-0.00025453	
828.83	0.00401802	-0.00015129	
829.03	0.00370298	-0.00004818	
829.23	0.00384918	0.00005481	
829.43	0.00394077	0.00015767	
829.63	0.00368084	0.00026041	
829.83	0.00335778	0.00036302	
830.03	0.00309304	0.0004655	
830.23	0.00324037	0.00056786	
830.43	0.00348927	0.00067009	
830.63	0.0036353	0.0007722	
830.83	0.00350803	0.00087418	
831.03	0.00347971	0.00097604	
831.23	0.00316799	0.00107777	
831.43	0.00351978	0.00117938	
831.63	0.00380512	0.00128086	
831.83	0.00396155	0.00138221	
832.03	0.00433287	0.00148345	
832.23	0.00412531	0.00158456	
832.43	0.00425357	0.00168554	
832.63	0.00449453	0.0017864	
832.83	0.00446526	0.00188714	
833.03	0.00416713	0.00198775	
833.23	0.00470788	0.00208824	
833.43	0.00514239	0.00218861	
833.63	0.0050728	0.00228885	
833.83	0.00478115	0.00238898	
834.03	0.00513699	0.00248897	
834.23	0.00563898	0.00258885	
834.43	0.00582448	0.0026886	
834.63	0.00544249	0.00278824	
834.83	0.00537813	0.00288774	
835.03	0.00504155	0.00298713	
835.23	0.00542934	0.0030864	
835.43	0.00584436	0.00318554	
835.63	0.00660554	0.00328456	
835.83	0.00659814	0.00338347	
836.03	0.00669734	0.00348225	
836.23	0.00695912	0.0035809	
836.43	0.00750405	0.00367944	
836.63	0.00785661	0.00377786	
836.83	0.00791693	0.00387616	
837.03	0.00793593	0.00397433	
837.23	0.00844763	0.00407239	
837.43	0.0084773	0.00417033	
837.63	0.00824692	0.00426815	
837.83	0.00794953	0.00436584	
838.03	0.00796092	0.00446342	
838.23	0.00779521	0.00456088	
838.43	0.00710519	0.00465822	
838.63	0.00703491	0.00475544	
838.83	0.00696863	0.00485254	
839.03	0.00649135	0.00494952	
839.23	0.0067272	0.00504638	
839.43	0.00669394	0.00514313	
839.63	0.00678047	0.00523976	
839.83	0.00660109	0.00533627	
840.03	0.00680793	0.00543266	
840.23	0.00730231	0.00552893	
840.43	0.00791152	0.00562508	
840.63	0.00812898	0.00572112	
840.83	0.00798252	0.00581704	
841.03	0.00825992	0.00591285	
841.23	0.00848872	0.00600853	
841.43	0.00857289	0.0061041	
841.63	0.00828442	0.00619955	
841.83	0.00782784	0.00629489	
842.03	0.0078271	0.00639011	
842.23	0.00768978	0.00648521	
842.43	0.00777583	0.0065802	
842.63	0.0082103	0.00667507	
842.83	0.00797667	0.00676983	
843.03	0.00760537	0.00686447	
843.23	0.00782412	0.00695899	
843.43	0.00799359	0.0070534	
843.63	0.0081529	0.00714769	
843.83	0.00845086	0.00724187	
844.03	0.00882422	0.00733593	
844.23	0.00912932	0.00742988	
844.43	0.00948511	0.00752372	
844.63	0.00994559	0.00761743	
844.83	0.01047917	0.00771104	
845.03	0.01099062	0.00780453	
845.23	0.01144674	0.00789791	
845.43	0.01118791	0.00799117	
845.63	0.01134987	0.00808432	
845.83	0.01146548	0.00817736	
846.03	0.01194571	0.00827028	
846.23	0.0123675	0.00836309	
846.43	0.01275892	0.00845578	
846.63	0.01206893	0.00854837	
846.83	0.01159432	0.00864084	
847.03	0.01171816	0.00873319	
847.23	0.0117289	0.00882544	
847.43	0.01201359	0.00891757	
847.63	0.01188191	0.00900959	
847.83	0.01163744	0.0091015	
848.03	0.0120815	0.00919329	
848.23	0.01199162	0.00928498	
848.43	0.0124337	0.00937655	
848.63	0.01255792	0.00946801	
848.83	0.01294513	0.00955936	
