Conc1	1.1E-09	
Start1	816.63	
Stop1	5316.44	
Kobs	0.000926936496414133	
Error Kobs	0.000129841882365595	
Koff	0.00412435952627579	
Error Koff	0.000125199743316028	
Time1	Data1	Fit1	
816.63	-0.00062142	-0.00062142	
816.83	-0.00024231	-0.00058533	
817.03	-0.00022852	-0.00054927	
817.23	-0.00033393	-0.00051325	
817.43	-0.00047493	-0.00047725	
817.63	-0.00041007	-0.00044128	
817.83	-0.00028182	-0.00040535	
818.03	-0.00038678	-0.00036944	
818.23	-0.0006031	-0.00033356	
818.43	-0.00108645	-0.00029772	
818.63	-0.00113694	-0.0002619	
818.83	-0.00132947	-0.00022611	
819.03	-0.00101655	-0.00019036	
819.23	-0.00080224	-0.00015463	
819.43	-0.00069535	-0.00011893	
819.63	-0.00126556	-0.00008326	
819.83	-0.00129178	-0.00004763	
820.03	-0.00084143	-0.00001202	
820.23	-0.00078492	0.00002356	
820.43	0.00037571	0.00005911	
820.63	0.00043875	0.00009463	
820.83	0.00084049	0.00013011	
821.03	0.00106181	0.00016557	
821.23	0.00114319	0.000201	
821.43	0.00172514	0.0002364	
821.63	0.00198882	0.00027177	
821.83	0.00198327	0.00030712	
822.03	0.00188059	0.00034243	
822.23	0.00161398	0.00037771	
822.43	0.00112049	0.00041296	
822.63	0.00131338	0.00044818	
822.83	0.00133769	0.00048338	
823.03	0.00113213	0.00051854	
823.23	0.00094421	0.00055368	
823.43	0.00067968	0.00058878	
823.63	0.00037138	0.00062386	
823.83	0.00047816	0.00065891	
824.03	0.00086449	0.00069393	
824.23	0.0010637	0.00072892	
824.43	0.001575	0.00076388	
824.63	0.00136172	0.00079881	
824.83	0.00207145	0.00083371	
825.03	0.00223844	0.00086858	
825.23	0.0022309	0.00090342	
825.43	0.00268597	0.00093824	
825.63	0.0023109	0.00097302	
825.83	0.00229717	0.00100778	
826.03	0.00220239	0.00104251	
826.23	0.00239006	0.0010772	
826.43	0.00210027	0.00111187	
826.63	0.00211691	0.00114651	
826.83	0.00199086	0.00118113	
827.03	0.00226913	0.00121571	
827.23	0.00220972	0.00125026	
827.43	0.00222106	0.00128479	
827.63	0.00231223	0.00131928	
827.83	0.00235464	0.00135375	
828.03	0.00291899	0.00138819	
828.23	0.00273757	0.0014226	
828.43	0.0023684	0.00145698	
828.63	0.00237538	0.00149134	
828.83	0.0019993	0.00152566	
829.03	0.00168543	0.00155996	
829.23	0.00191306	0.00159422	
829.43	0.00160635	0.00162846	
829.63	0.00123065	0.00166267	
829.83	0.00092359	0.00169686	
830.03	0.00085595	0.00173101	
830.23	0.00109051	0.00176513	
830.43	0.00117592	0.00179923	
830.63	0.00102969	0.0018333	
830.83	0.00149563	0.00186734	
831.03	0.00202216	0.00190135	
831.23	0.001723	0.00193533	
831.43	0.00204265	0.00196929	
831.63	0.00205923	0.00200322	
831.83	0.00200264	0.00203711	
832.03	0.00232024	0.00207098	
832.23	0.00211767	0.00210483	
832.43	0.00234412	0.00213864	
832.63	0.00272907	0.00217243	
832.83	0.00229996	0.00220618	
833.03	0.00308221	0.00223991	
833.23	0.00315719	0.00227362	
