Conc1	3.8E-10	
Start1	816.63	
Stop1	5316.44	
Kobs	0.00436535205047106	
Error Kobs	0.000209932956060654	
Koff	0.00533474297828406	
Error Koff	0.00029613971383896	
Time1	Data1	Fit1	
816.63	-0.00075414	-0.00075414	
816.83	-0.00068792	-0.00073923	
817.03	-0.0006466	-0.00072433	
817.23	-0.00106715	-0.00070945	
817.43	-0.00152056	-0.00069457	
817.63	-0.00162369	-0.00067971	
817.83	-0.00136893	-0.00066487	
818.03	-0.00121982	-0.00065003	
818.23	-0.00126857	-0.00063521	
818.43	-0.00155529	-0.0006204	
818.63	-0.00121081	-0.0006056	
818.83	-0.00083447	-0.00059082	
819.03	-0.00066622	-0.00057605	
819.23	-0.00024846	-0.00056129	
819.43	-0.00038304	-0.00054654	
819.63	-0.00017181	-0.0005318	
819.83	0.00012926	-0.00051708	
820.03	0.00061505	-0.00050237	
820.23	0.00116204	-0.00048767	
820.43	0.00190454	-0.00047298	
820.63	0.00219521	-0.00045831	
820.83	0.00255354	-0.00044365	
821.03	0.00259133	-0.000429	
821.23	0.00250634	-0.00041436	
821.43	0.00244695	-0.00039974	
821.63	0.00256329	-0.00038512	
821.83	0.0026845	-0.00037052	
822.03	0.00253398	-0.00035593	
822.23	0.00224065	-0.00034136	
822.43	0.00197983	-0.00032679	
822.63	0.0021054	-0.00031224	
822.83	0.00242963	-0.0002977	
823.03	0.0023176	-0.00028318	
823.23	0.00219969	-0.00026866	
823.43	0.00189448	-0.00025416	
823.63	0.00189849	-0.00023967	
823.83	0.00244882	-0.00022519	
824.03	0.00257149	-0.00021072	
824.23	0.0024565	-0.00019627	
824.43	0.00233288	-0.00018182	
824.63	0.00181516	-0.00016739	
824.83	0.00133585	-0.00015298	
825.03	0.00077147	-0.00013857	
825.23	0.00021439	-0.00012417	
825.43	0.00001604	-0.00010979	
825.63	-0.00015684	-0.00009542	
825.83	0.00003993	-0.00008106	
826.03	0.00026743	-0.00006672	
826.23	0.00035192	-0.00005238	
826.43	-0.00015689	-0.00003806	
826.63	0.00007474	-0.00002375	
826.83	0.00105529	-0.00000945	
827.03	0.00154118	0.00000483	
827.23	0.00169056	0.00001911	
827.43	0.0020781	0.00003337	
827.63	0.00249102	0.00004762	
827.83	0.00233711	0.00006186	
828.03	0.00259349	0.00007609	
828.23	0.00211952	0.0000903	
828.43	0.00211793	0.0001045	
828.63	0.00155454	0.00011869	
828.83	0.0012209	0.00013287	
829.03	0.00125883	0.00014704	
829.23	0.00158637	0.0001612	
829.43	0.0018415	0.00017534	
829.63	0.00164251	0.00018947	
829.83	0.00183354	0.00020359	
830.03	0.00160959	0.0002177	
830.23	0.00116896	0.0002318	
830.43	0.00090173	0.00024588	
830.63	0.00129101	0.00025996	
830.83	0.00165561	0.00027402	
831.03	0.00169182	0.00028807	
831.23	0.00118485	0.0003021	
831.43	0.00106394	0.00031613	
831.63	0.00074204	0.00033014	
831.83	0.00071118	0.00034415	
832.03	0.00102752	0.00035814	
832.23	0.0008831	0.00037212	
832.43	0.00125699	0.00038608	
832.63	0.00097474	0.00040004	
832.83	0.00101227	0.00041398	
833.03	0.00119048	0.00042792	
833.23	0.00168051	0.00044184	
833.43	0.00158128	0.00045575	
833.63	0.00184459	0.00046965	
833.83	0.00226227	0.00048353	
834.03	0.00222332	0.00049741	
834.23	0.00230822	0.00051127	
834.43	0.00273494	0.00052512	
834.63	0.00274259	0.00053896	
834.83	0.00297399	0.00055279	
835.03	0.00305233	0.0005666	
835.23	0.00354514	0.00058041	
835.43	0.00402988	0.0005942	
835.63	0.0044894	0.00060799	
