Conc1	2.75E-07	
Start1	813.82	
Stop1	5313.63	
Kobs	0.0357569277296352	
Error Kobs	0.00110794434195541	
Koff	0.00394820103888861	
Error Koff	1.11324095102244E-05	
Time1	Data1	Fit1	
813.82	0.01699522	0.01699522	
814.02	0.01901057	0.01905465	
814.22	0.02100524	0.02109941	
814.42	0.02388759	0.0231296	
814.62	0.027212	0.02514532	
814.82	0.03078052	0.02714668	
815.02	0.03457721	0.02913378	
815.22	0.03863428	0.03110671	
815.42	0.04286264	0.03306559	
815.62	0.04717357	0.03501051	
815.82	0.05173923	0.03694157	
816.02	0.05586161	0.03885887	
816.22	0.05985919	0.0407625	
816.42	0.06416033	0.04265257	
816.62	0.06849988	0.04452918	
816.82	0.07250678	0.04639241	
817.02	0.07657603	0.04824236	
817.22	0.08043891	0.05007913	
817.42	0.08419913	0.05190282	
817.62	0.08803547	0.0537135	
817.82	0.09197028	0.05551129	
818.02	0.09547035	0.05729626	
818.22	0.0986881	0.05906851	
818.42	0.10229452	0.06082814	
818.62	0.1059238	0.06257523	
818.82	0.10912749	0.06430986	
819.02	0.11218834	0.06603214	
819.22	0.11538242	0.06774214	
819.42	0.11881183	0.06943996	
819.62	0.12176131	0.07112568	
819.82	0.12505739	0.07279939	
820.02	0.1278213	0.07446117	
820.22	0.13079061	0.07611111	
820.42	0.13404759	0.07774929	
820.62	0.13673668	0.0793758	
820.82	0.13968854	0.08099071	
821.02	0.14240173	0.08259412	
821.22	0.14513019	0.08418611	
821.42	0.14747205	0.08576675	
821.62	0.14997944	0.08733613	
821.82	0.15223701	0.08889432	
822.02	0.15403157	0.09044141	
822.22	0.15612397	0.09197748	
822.42	0.15807413	0.0935026	
822.62	0.1598794	0.09501685	
822.82	0.16153299	0.09652031	
823.02	0.16310573	0.09801306	
823.22	0.16538184	0.09949517	
823.42	0.16733086	0.10096672	
823.62	0.1693607	0.10242778	
823.82	0.17149669	0.10387844	
824.02	0.17402152	0.10531875	
824.22	0.17629591	0.1067488	
824.42	0.17824917	0.10816866	
824.62	0.18066939	0.10957841	
824.82	0.18270495	0.11097811	
825.02	0.18405783	0.11236783	
825.22	0.18567772	0.11374765	
825.42	0.18730811	0.11511764	
825.62	0.18874279	0.11647786	
825.82	0.18970718	0.1178284	
826.02	0.19019289	0.11916931	
826.22	0.19061665	0.12050066	
826.42	0.19099518	0.12182253	
826.62	0.19160329	0.12313498	
826.82	0.19189174	0.12443807	
827.02	0.19205882	0.12573188	
827.22	0.19286884	0.12701647	
827.42	0.19401259	0.12829191	
827.62	0.19460521	0.12955826	
827.82	0.1956271	0.13081558	
828.02	0.19712495	0.13206395	
828.22	0.19812335	0.13330341	
828.42	0.19911819	0.13453405	
828.62	0.20060175	0.13575592	
828.82	0.20145645	0.13696908	
829.02	0.20276186	0.13817359	
829.22	0.20402764	0.13936953	
829.42	0.20511357	0.14055694	
829.62	0.20593928	0.14173589	
829.82	0.20655433	0.14290643	
830.02	0.2071412	0.14406864	
830.22	0.20826148	0.14522256	
830.42	0.20915463	0.14636827	
830.62	0.20977384	0.1475058	
830.82	0.21033052	0.14863524	
831.02	0.21108291	0.14975662	
831.22	0.21215277	0.15087001	
831.42	0.21312564	0.15197547	
831.62	0.21342699	0.15307305	
831.82	0.21426341	0.15416282	
832.02	0.21449364	0.15524481	
832.22	0.2149965	0.1563191	
832.42	0.21550927	0.15738572	
832.62	0.21617491	0.15844475	
832.82	0.21663352	0.15949624	
833.02	0.2173247	0.16054023	
833.22	0.21809427	0.16157678	
833.42	0.21850671	0.16260594	
833.62	0.21939808	0.16362777	
833.82	0.21997726	0.16464232	
834.02	0.22072845	0.16564964	
834.22	0.22125886	0.16664978	
834.42	0.22167712	0.1676428	
834.62	0.22215551	0.16862873	
834.82	0.22275848	0.16960765	
835.02	0.22318367	0.17057958	
835.22	0.22402485	0.17154459	
835.42	0.22440047	0.17250273	
835.62	0.22481268	0.17345404	
835.82	0.22509918	0.17439856	
836.02	0.2254234	0.17533636	
836.22	0.2255457	0.17626748	
836.42	0.22582086	0.17719196	
836.62	0.22577798	0.17810985	
836.82	0.22560554	0.1790212	
837.02	0.22605311	0.17992606	
837.22	0.22645159	0.18082447	
837.42	0.22664032	0.18171647	
837.62	0.2272293	0.18260213	
837.82	0.22746392	0.18348147	
838.02	0.22784139	0.18435454	
838.22	0.22798993	0.18522139	
838.42	0.22792893	0.18608207	
