Conc1	9.17E-08	
Start1	813.82	
Stop1	5313.63	
Kobs	0.0151589098652318	
Error Kobs	0.000310433916100157	
Koff	0.00398519586139716	
Error Koff	1.34366282635706E-05	
Time1	Data1	Fit1	
813.82	0.01098715	0.01098715	
814.02	0.01212661	0.01183873	
814.22	0.01299695	0.01268773	
814.42	0.01430625	0.01353415	
814.62	0.01559356	0.01437802	
814.82	0.01720465	0.01521933	
815.02	0.01890873	0.0160581	
815.22	0.02034698	0.01689432	
815.42	0.02217997	0.01772801	
815.62	0.0240906	0.01855918	
815.82	0.02559994	0.01938784	
816.02	0.02735568	0.02021398	
816.22	0.02931042	0.02103763	
816.42	0.03186515	0.02185878	
816.62	0.0341948	0.02267745	
816.82	0.03578392	0.02349363	
817.02	0.03780781	0.02430735	
817.22	0.03965163	0.0251186	
817.42	0.0414087	0.0259274	
817.62	0.04344493	0.02673375	
817.82	0.04528943	0.02753766	
818.02	0.04667097	0.02833913	
818.22	0.04777804	0.02913818	
818.42	0.04922057	0.02993481	
818.62	0.05020349	0.03072903	
818.82	0.05143741	0.03152084	
819.02	0.05274673	0.03231026	
819.22	0.05354487	0.03309728	
819.42	0.0551989	0.03388193	
819.62	0.05640133	0.0346642	
819.82	0.05778944	0.0354441	
820.02	0.05959951	0.03622164	
820.22	0.06145522	0.03699682	
820.42	0.06346124	0.03776966	
820.62	0.06509703	0.03854016	
820.82	0.06686568	0.03930833	
821.02	0.06851753	0.04007417	
821.22	0.07032651	0.0408377	
821.42	0.07155783	0.04159891	
821.62	0.07295965	0.04235782	
821.82	0.07424834	0.04311443	
822.02	0.07510268	0.04386875	
822.22	0.07658559	0.04462079	
822.42	0.07742198	0.04537055	
822.62	0.07831296	0.04611804	
822.82	0.07932946	0.04686327	
823.02	0.08052548	0.04760624	
823.22	0.08207446	0.04834696	
823.42	0.08385288	0.04908544	
823.62	0.08547956	0.04982169	
823.82	0.08679287	0.0505557	
824.02	0.08833935	0.0512875	
824.22	0.08992339	0.05201708	
824.42	0.09160213	0.05274445	
824.62	0.09325531	0.05346962	
824.82	0.09429018	0.05419259	
825.02	0.09531802	0.05491337	
825.22	0.09666515	0.05563198	
825.42	0.09752146	0.05634841	
825.62	0.09883857	0.05706266	
825.82	0.09977237	0.05777476	
826.02	0.10028028	0.0584847	
826.22	0.10092153	0.05919249	
826.42	0.10165798	0.05989814	
826.62	0.10302981	0.06060166	
826.82	0.10388198	0.06130304	
827.02	0.10475993	0.0620023	
827.22	0.1061615	0.06269944	
827.42	0.10724108	0.06339448	
827.62	0.10806621	0.0640874	
827.82	0.10884393	0.06477824	
828.02	0.11036958	0.06546698	
828.22	0.11099449	0.06615363	
828.42	0.11233699	0.06683821	
828.62	0.11328152	0.06752071	
828.82	0.11385166	0.06820115	
829.02	0.11515974	0.06887953	
829.22	0.11642667	0.06955585	
829.42	0.11711162	0.07023013	
829.62	0.11852312	0.07090237	
829.82	0.11945236	0.07157257	
830.02	0.12029654	0.07224074	
830.22	0.12151136	0.07290689	
830.42	0.12298513	0.07357102	
830.62	0.12395483	0.07423315	
830.82	0.12481196	0.07489326	
831.02	0.12577517	0.07555138	
831.22	0.12730528	0.07620751	
831.42	0.12857859	0.07686165	
831.62	0.12930351	0.07751381	
831.82	0.1304218	0.078164	
832.02	0.13095297	0.07881222	
832.22	0.13168692	0.07945848	
832.42	0.1330122	0.08010278	
832.62	0.13368271	0.08074513	
832.82	0.13424289	0.08138553	
833.02	0.13566524	0.082024	
833.22	0.13653874	0.08266053	
833.42	0.1365739	0.08329514	
833.62	0.13778939	0.08392782	
833.82	0.13812482	0.0845586	
834.02	0.1384557	0.08518746	
834.22	0.13871928	0.08581441	
834.42	0.13944393	0.08643947	
834.62	0.14053445	0.08706264	
834.82	0.14145742	0.08768392	
835.02	0.14262319	0.08830332	
835.22	0.14415582	0.08892085	
835.42	0.14472174	0.0895365	
835.62	0.14572052	0.09015029	
835.82	0.14663739	0.09076223	
836.02	0.14748242	0.09137231	
836.22	0.14872044	0.09198055	
836.42	0.14921834	0.09258694	
836.62	0.15010592	0.0931915	
836.82	0.15044617	0.09379422	
837.02	0.15129667	0.09439513	
837.22	0.1516213	0.09499421	
837.42	0.15171836	0.09559148	
837.62	0.15289653	0.09618694	
837.82	0.15344747	0.0967806	
838.02	0.15376956	0.09737247	
838.22	0.15428264	0.09796254	
838.42	0.15492419	0.09855082	
838.62	0.15592167	0.09913733	
838.82	0.15644855	0.09972206	
839.02	0.1574903	0.10030501	
839.22	0.1580224	0.10088621	
839.42	0.15831836	0.10146564	
839.62	0.1593419	0.10204332	
839.82	0.16019608	0.10261925	
840.02	0.16048495	0.10319344	
840.22	0.16074936	0.10376589	
840.42	0.16104373	0.10433661	
840.62	0.1618255	0.1049056	
840.82	0.1620381	0.10547287	
841.02	0.16302539	0.10603841	
841.22	0.16335248	0.10660225	
841.42	0.16394518	0.10716438	
841.62	0.16431768	0.10772481	
841.82	0.16420053	0.10828355	
842.02	0.1648293	0.10884059	
842.22	0.16552085	0.10939594	
842.42	0.16549738	0.10994961	
842.62	0.16631132	0.11050161	
842.82	0.16667771	0.11105194	
843.02	0.16740979	0.1116006	
843.22	0.16821867	0.1121476	
843.42	0.16918562	0.11269294	
843.62	0.17009096	0.11323664	
843.82	0.17079019	0.11377868	
844.02	0.17064692	0.11431909	
844.22	0.17101396	0.11485786	
844.42	0.17109521	0.115395	
844.62	0.17174597	0.11593051	
844.82	0.17218306	0.11646441	
845.02	0.17221516	0.11699668	
845.22	0.17229957	0.11752735	
