Conc1	3.06E-08	
Start1	813.82	
Stop1	5313.63	
Kobs	0.00748673259228191	
Error Kobs	9.15326457008282E-05	
Koff	0.00370898875417039	
Error Koff	1.55933548869863E-05	
Time1	Data1	Fit1	
813.82	-0.00083468	-0.00083468	
814.02	-0.00085685	-0.00050829	
814.22	-0.00114308	-0.00018238	
814.42	-0.00130834	0.00014303	
814.62	-0.00123122	0.00046796	
814.82	-0.00077241	0.0007924	
815.02	-0.00038803	0.00111636	
815.22	-0.00022032	0.00143983	
815.42	0.0004722	0.00176282	
815.62	0.00135309	0.00208532	
815.82	0.0022649	0.00240734	
816.02	0.00326714	0.00272888	
816.22	0.00370786	0.00304994	
816.42	0.00486412	0.00337052	
816.62	0.00572112	0.00369062	
816.82	0.00543244	0.00401024	
817.02	0.00596146	0.00432938	
817.22	0.00644686	0.00464805	
817.42	0.00650081	0.00496623	
817.62	0.00655557	0.00528394	
817.82	0.00725248	0.00560118	
818.02	0.00778638	0.00591794	
818.22	0.0079356	0.00623423	
818.42	0.00807285	0.00655004	
818.62	0.00835123	0.00686538	
818.82	0.00851352	0.00718025	
819.02	0.00858002	0.00749465	
819.22	0.00871706	0.00780858	
819.42	0.00964297	0.00812204	
819.62	0.01015201	0.00843503	
819.82	0.01092793	0.00874755	
820.02	0.0116367	0.0090596	
820.22	0.01239541	0.00937119	
820.42	0.01370337	0.00968231	
820.62	0.01442135	0.00999297	
820.82	0.01504457	0.01030316	
821.02	0.01588774	0.01061288	
821.22	0.01681739	0.01092215	
821.42	0.01692682	0.01123095	
821.62	0.01721235	0.01153928	
821.82	0.01789609	0.01184716	
822.02	0.01797733	0.01215458	
822.22	0.01831497	0.01246153	
822.42	0.01843671	0.01276803	
822.62	0.01845067	0.01307407	
822.82	0.01865624	0.01337965	
823.02	0.01903678	0.01368477	
823.22	0.01974321	0.01398944	
823.42	0.02068091	0.01429365	
823.62	0.02102828	0.0145974	
823.82	0.02167778	0.0149007	
824.02	0.02261981	0.01520355	
824.22	0.02317733	0.01550595	
824.42	0.02415789	0.01580789	
824.62	0.02485516	0.01610938	
824.82	0.02529616	0.01641042	
825.02	0.02586433	0.016711	
825.22	0.02660966	0.01701114	
825.42	0.02673424	0.01731083	
