Conc1	1.1E-09	
Start1	813.82	
Stop1	5313.63	
Kobs	0.00193452726508584	
Error Kobs	1.40766188327208E-05	
Koff	0.00477976236905633	
Error Koff	9.0029956266122E-05	
Time1	Data1	Fit1	
813.82	-0.00301926	-0.00301926	
814.02	-0.00268163	-0.00300618	
814.22	-0.00280699	-0.00299311	
814.42	-0.00266542	-0.00298005	
814.62	-0.00237243	-0.00296698	
814.82	-0.00205594	-0.00295393	
815.02	-0.00193402	-0.00294088	
815.22	-0.00198016	-0.00292783	
815.42	-0.00159821	-0.00291479	
815.62	-0.00117903	-0.00290176	
815.82	-0.00102804	-0.00288873	
816.02	-0.00124142	-0.0028757	
816.22	-0.00136147	-0.00286268	
816.42	-0.00074373	-0.00284967	
816.62	-0.00039666	-0.00283666	
816.82	-0.00086772	-0.00282365	
817.02	-0.00071929	-0.00281065	
817.22	-0.00056903	-0.00279766	
817.42	-0.00085028	-0.00278467	
817.62	-0.00120671	-0.00277168	
817.82	-0.00098404	-0.0027587	
818.02	-0.00117071	-0.00274572	
818.22	-0.00157759	-0.00273275	
818.42	-0.00130604	-0.00271979	
818.62	-0.00095279	-0.00270683	
818.82	-0.00105127	-0.00269388	
819.02	-0.0011583	-0.00268093	
819.22	-0.00119964	-0.00266798	
819.42	-0.00106496	-0.00265504	
819.62	-0.0010276	-0.00264211	
819.82	-0.00132165	-0.00262918	
820.02	-0.00162066	-0.00261625	
820.22	-0.00152457	-0.00260333	
820.42	-0.00080208	-0.00259042	
820.62	-0.00043428	-0.00257751	
820.82	-0.00029535	-0.0025646	
821.02	0.00013258	-0.0025517	
821.22	0.00018229	-0.00253881	
821.42	0.00033754	-0.00252592	
821.62	-0.00027273	-0.00251303	
821.82	-0.00075889	-0.00250015	
822.02	-0.00131087	-0.00248728	
822.22	-0.00090593	-0.00247441	
822.42	-0.00086025	-0.00246154	
822.62	-0.00105445	-0.00244868	
822.82	-0.00177529	-0.00243583	
823.02	-0.00199694	-0.00242298	
823.22	-0.00187263	-0.00241013	
823.42	-0.00143022	-0.00239729	
823.62	-0.00095894	-0.00238445	
823.82	-0.00077828	-0.00237162	
824.02	-0.00005825	-0.0023588	
824.22	-0.00003257	-0.00234598	
824.42	0.00075343	-0.00233316	
824.62	0.00117586	-0.00232035	
