Conc1	3.8E-10	
Start1	813.82	
Stop1	5313.63	
Kobs	0.00189412794972593	
Error Kobs	3.91621735005016E-05	
Koff	0.01017681000994	
Error Koff	0.00138170340410313	
Time1	Data1	Fit1	
813.82	0.00668215	0.00668215	
814.02	0.00631867	0.00668613	
814.22	0.00582342	0.00669011	
814.42	0.00543748	0.00669408	
814.62	0.00526643	0.00669806	
814.82	0.00482709	0.00670203	
815.02	0.00462525	0.006706	
815.22	0.00401128	0.00670997	
815.42	0.0040328	0.00671393	
815.62	0.00406489	0.0067179	
815.82	0.0043217	0.00672186	
816.02	0.00478951	0.00672583	
816.22	0.00451948	0.00672979	
816.42	0.00422531	0.00673375	
816.62	0.00433354	0.0067377	
816.82	0.00448052	0.00674166	
817.02	0.00457557	0.00674562	
817.22	0.0047008	0.00674957	
817.42	0.00454804	0.00675352	
817.62	0.00467271	0.00675747	
817.82	0.0054299	0.00676142	
818.02	0.00557355	0.00676537	
818.22	0.00558567	0.00676932	
818.42	0.00563571	0.00677326	
818.62	0.005586	0.0067772	
818.82	0.00547834	0.00678115	
819.02	0.00509741	0.00678509	
819.22	0.00447914	0.00678902	
819.42	0.0053017	0.00679296	
819.62	0.00517097	0.0067969	
819.82	0.00528886	0.00680083	
820.02	0.00577762	0.00680476	
820.22	0.0054632	0.0068087	
820.42	0.00560142	0.00681263	
820.62	0.00620169	0.00681655	
820.82	0.00708138	0.00682048	
821.02	0.00705556	0.00682441	
821.22	0.00702107	0.00682833	
821.42	0.0066752	0.00683225	
821.62	0.00697803	0.00683617	
821.82	0.00701392	0.00684009	
822.02	0.00640918	0.00684401	
822.22	0.0061578	0.00684793	
822.42	0.00575658	0.00685184	
822.62	0.00507199	0.00685576	
822.82	0.00436063	0.00685967	
823.02	0.00356134	0.00686358	
823.22	0.00395794	0.00686749	
823.42	0.0044349	0.00687139	
823.62	0.00466477	0.0068753	
823.82	0.00478483	0.0068792	
824.02	0.00538504	0.00688311	
824.22	0.00532393	0.00688701	
824.42	0.00602877	0.00689091	
824.62	0.00661963	0.00689481	
824.82	0.00675516	0.00689871	
825.02	0.00665615	0.0069026	
825.22	0.00681241	0.0069065	
825.42	0.00721414	0.00691039	
825.62	0.00771994	0.00691428	
825.82	0.00765881	0.00691817	
826.02	0.00747951	0.00692206	
826.22	0.00712043	0.00692594	
826.42	0.00633942	0.00692983	
826.62	0.00616652	0.00693371	
826.82	0.00533718	0.0069376	
827.02	0.00476675	0.00694148	
827.22	0.00448679	0.00694536	
827.42	0.0042541	0.00694923	
827.62	0.00401094	0.00695311	
827.82	0.00338249	0.00695699	
828.02	0.00350444	0.00696086	
828.22	0.00302975	0.00696473	
828.42	0.00305463	0.0069686	
828.62	0.00316806	0.00697247	
828.82	0.00309206	0.00697634	
829.02	0.00385898	0.00698021	
829.22	0.0039729	0.00698407	
829.42	0.00428415	0.00698793	
829.62	0.00435962	0.0069918	
829.82	0.00425978	0.00699566	
830.02	0.00458261	0.00699951	
830.22	0.00467436	0.00700337	
