Conc1	3.4E-09	
Start1	813.82	
Stop1	5313.63	
Kobs	1.06132293861068E-05	
Error Kobs	9.00665991572662E-05	
Koff	0.00471693121618008	
Error Koff	NaN	
Time1	Data1	Fit1	
813.82	-0.00087173	-0.00087173	
814.02	-0.00108155	-0.00082742	
814.22	-0.00187479	-0.00078314	
814.42	-0.00242079	-0.0007389	
814.62	-0.00289276	-0.0006947	
814.82	-0.00310562	-0.00065052	
815.02	-0.00367534	-0.00060638	
815.22	-0.00426424	-0.00056228	
815.42	-0.00451704	-0.00051821	
815.62	-0.00426892	-0.00047417	
815.82	-0.00405547	-0.00043016	
816.02	-0.00335439	-0.00038619	
816.22	-0.00375276	-0.00034225	
816.42	-0.00378691	-0.00029835	
816.62	-0.00369006	-0.00025447	
816.82	-0.00412308	-0.00021064	
817.02	-0.00388367	-0.00016683	
817.22	-0.00341375	-0.00012306	
817.42	-0.00354319	-0.00007932	
817.62	-0.00370138	-0.00003562	
817.82	-0.00300387	0.00000806	
818.02	-0.00284857	0.00005169	
818.22	-0.00299633	0.0000953	
818.42	-0.00312873	0.00013887	
818.62	-0.00317905	0.00018241	
818.82	-0.0034282	0.00022592	
819.02	-0.00399214	0.00026939	
819.22	-0.00440019	0.00031283	
819.42	-0.00360488	0.00035624	
819.62	-0.00331504	0.00039961	
819.82	-0.00341212	0.00044295	
820.02	-0.00326208	0.00048626	
820.22	-0.0031829	0.00052954	
820.42	-0.00235512	0.00057278	
820.62	-0.00182411	0.00061599	
820.82	-0.00136147	0.00065916	
821.02	-0.00071673	0.00070231	
821.22	-0.00039128	0.00074542	
821.42	-0.00054881	0.0007885	
821.62	-0.00065392	0.00083154	
821.82	-0.00003694	0.00087456	
822.02	-0.00048448	0.00091754	
822.22	-0.00027616	0.00096048	
822.42	-0.00064556	0.0010034	
822.62	-0.00071429	0.00104628	
822.82	-0.00128694	0.00108913	
823.02	-0.00149916	0.00113195	
823.22	-0.00117358	0.00117473	
823.42	-0.00038719	0.00121748	
823.62	-0.00063571	0.0012602	
823.82	-0.00078665	0.00130289	
824.02	-0.00020139	0.00134554	
824.22	0.00009779	0.00138817	
824.42	0.0004612	0.00143076	
824.62	0.00085504	0.00147331	
824.82	0.00081187	0.00151584	
825.02	0.00102534	0.00155833	
825.22	0.0010227	0.00160079	
825.42	0.00111601	0.00164322	
825.62	0.00113634	0.00168562	
825.82	0.00116698	0.00172798	
826.02	0.00076109	0.00177031	
826.22	0.00068642	0.00181261	
826.42	0.00010158	0.00185488	
826.62	0.00006336	0.00189712	
826.82	-0.00059885	0.00193932	
827.02	-0.00084307	0.00198149	
827.22	-0.00077248	0.00202363	
827.42	-0.0006583	0.00206574	
827.62	-0.00076063	0.00210782	
827.82	-0.00107614	0.00214986	
828.02	-0.0008961	0.00219187	
828.22	-0.00137505	0.00223385	
828.42	-0.00116413	0.0022758	
828.62	-0.00073171	0.00231772	
828.82	-0.00099299	0.0023596	
829.02	-0.00061252	0.00240145	
829.22	-0.00053571	0.00244327	
829.42	-0.00065131	0.00248506	
829.62	-0.00078392	0.00252682	
829.82	-0.00101553	0.00256855	
830.02	-0.00095035	0.00261024	
830.22	-0.00049591	0.0026519	
830.42	-0.00020667	0.00269353	
830.62	0.00015984	0.00273513	
830.82	0.00012012	0.0027767	
831.02	0.00018761	0.00281824	
831.22	0.00080959	0.00285974	
831.42	0.00122613	0.00290121	
831.62	0.00129394	0.00294266	
831.82	0.00105779	0.00298407	
832.02	0.00094595	0.00302545	
832.22	0.00107811	0.00306679	
832.42	0.00146514	0.00310811	
832.62	0.00146892	0.00314939	
832.82	0.00130993	0.00319065	
833.02	0.00161405	0.00323187	
833.22	0.00153795	0.00327306	
833.42	0.00114838	0.00331422	
833.62	0.00149922	0.00335535	
833.82	0.00147286	0.00339645	
834.02	0.00209571	0.00343751	
834.22	0.00226029	0.00347855	
834.42	0.00242699	0.00351955	
834.62	0.00251846	0.00356053	
834.82	0.00243536	0.00360147	
835.02	0.00260338	0.00364238	
835.22	0.0029781	0.00368326	
835.42	0.00294747	0.00372411	
835.62	0.00323834	0.00376493	
835.82	0.00366457	0.00380571	
836.02	0.00402881	0.00384647	
836.22	0.00444954	0.0038872	
836.42	0.00470303	0.00392789	
836.62	0.00462023	0.00396855	
836.82	0.00411016	0.00400919	
837.02	0.0041755	0.00404979	
837.22	0.00391311	0.00409036	
837.42	0.0036393	0.0041309	
837.62	0.00375515	0.00417141	
837.82	0.00381362	0.00421189	
838.02	0.003882	0.00425234	
838.22	0.00332272	0.00429276	
838.42	0.0030405	0.00433314	
838.62	0.00280416	0.0043735	
838.82	0.00258822	0.00441383	
839.02	0.00275808	0.00445412	
839.22	0.00286743	0.00449439	
839.42	0.00289745	0.00453462	
839.62	0.00344775	0.00457483	
839.82	0.00415344	0.004615	
840.02	0.00394063	0.00465514	
840.22	0.00381025	0.00469526	
840.42	0.00386713	0.00473534	
840.62	0.00337514	0.00477539	
840.82	0.00295804	0.00481541	
841.02	0.00354208	0.0048554	
841.22	0.0037723	0.00489537	
841.42	0.00399475	0.0049353	
841.62	0.00376209	0.0049752	
841.82	0.00328092	0.00501507	
842.02	0.00285726	0.00505491	
