Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs	0.0775262353283051	
Error Kobs	0.00201930321887217	
Koff	0.00290542429759073	
Error Koff	9.93651188589933E-06	
Time1	Data1	Fit1	
799.84	0.04875975	0.04875975	
800.04	0.06261783	0.06932322	
800.24	0.07900833	0.08957031	
800.44	0.09757819	0.10950588	
800.64	0.11875148	0.12913474	
800.84	0.14156784	0.14846159	
801.04	0.16562645	0.16749108	
801.24	0.19077349	0.18622779	
801.44	0.21642852	0.20467623	
801.64	0.2417199	0.22284082	
801.84	0.26622968	0.24072594	
802.04	0.28915547	0.25833588	
802.24	0.3118887	0.27567489	
802.44	0.33456211	0.29274712	
802.64	0.35719183	0.30955669	
802.84	0.37921481	0.32610763	
803.04	0.40101115	0.34240392	
803.24	0.42223513	0.35844948	
803.44	0.44373398	0.37424817	
803.64	0.46497688	0.38980379	
803.84	0.48591077	0.40512007	
804.04	0.50643961	0.42020071	
804.24	0.52664611	0.43504931	
804.44	0.54623025	0.44966946	
804.64	0.56607965	0.46406468	
804.84	0.58517558	0.47823841	
805.04	0.60405294	0.49219407	
805.24	0.62252354	0.50593501	
805.44	0.64044513	0.51946454	
805.64	0.65757657	0.53278591	
805.84	0.67469195	0.54590232	
806.04	0.69116127	0.55881692	
806.24	0.70726986	0.57153283	
806.44	0.72299407	0.58405309	
806.64	0.73842847	0.59638072	
806.84	0.75302689	0.60851868	
807.04	0.76782862	0.62046989	
807.24	0.78176346	0.63223723	
807.44	0.79570632	0.64382351	
807.64	0.80914339	0.65523154	
807.84	0.82220556	0.66646404	
808.04	0.83441453	0.67752372	
808.24	0.8465764	0.68841325	
808.44	0.85818295	0.69913523	
808.64	0.86939692	0.70969224	
808.84	0.88010501	0.72008683	
809.04	0.89054724	0.73032149	
809.24	0.90030701	0.74039869	
809.44	0.90992672	0.75032084	
809.64	0.91912668	0.76009033	
809.84	0.92815422	0.76970951	
810.04	0.93639163	0.7791807	
810.24	0.94487069	0.78850616	
810.44	0.95290439	0.79768814	
810.64	0.96042488	0.80672886	
810.84	0.96757648	0.81563048	
811.04	0.97523856	0.82439514	
811.24	0.9819774	0.83302495	
811.44	0.98862115	0.84152198	
811.64	0.99444541	0.84988828	
811.84	1.00000101	0.85812586	
812.04	1.00577839	0.8662367	
812.24	1.01117139	0.87422275	
812.44	1.01569222	0.88208593	
812.64	1.02028293	0.88982813	
812.84	1.02530131	0.89745121	
813.04	1.03011042	0.904957	
813.24	1.03452709	0.91234732	
813.44	1.03926967	0.91962392	
813.64	1.04371916	0.92678857	
813.84	1.04769204	0.93384299	
814.04	1.05160119	0.94078888	
814.24	1.05567295	0.94762789	
814.44	1.05949666	0.95436168	
814.64	1.06333984	0.96099187	
814.84	1.06670476	0.96752005	
815.04	1.07043793	0.97394779	
815.24	1.07343257	0.98027663	
815.44	1.076289	0.9865081	
815.64	1.07903378	0.9926437	
815.84	1.08173844	0.99868489	
816.04	1.08496234	1.00463314	
816.24	1.08768573	1.01048987	
816.44	1.08991497	1.01625649	
816.64	1.09271684	1.02193438	
816.84	1.09539225	1.02752492	
817.04	1.09763976	1.03302945	
817.24	1.09982105	1.03844928	
817.44	1.10225288	1.04378572	
817.64	1.10434484	1.04904006	
817.84	1.10610327	1.05421356	
818.04	1.10833048	1.05930747	
818.24	1.11031386	1.06432299	
818.44	1.11229252	1.06926135	
818.64	1.11411444	1.07412374	
818.84	1.11565917	1.07891131	
819.04	1.11737786	1.08362522	
819.24	1.11929498	1.0882666	
819.44	1.12105767	1.09283657	
819.64	1.12261199	1.09733624	
819.84	1.12395399	1.10176667	
820.04	1.12582215	1.10612893	
820.24	1.12748368	1.11042408	
820.44	1.12878611	1.11465315	
820.64	1.13055019	1.11881715	
820.84	1.13209241	1.12291708	
821.04	1.13325816	1.12695393	
821.24	1.13469886	1.13092867	
821.44	1.1359329	1.13484226	
821.64	1.13722022	1.13869564	
821.84	1.13854428	1.14248973	
822.04	1.13998789	1.14622544	
822.24	1.14138455	1.14990368	
822.44	1.14292274	1.15352533	
822.64	1.14466064	1.15709125	
822.84	1.14576576	1.16060231	
