Conc1	0.0	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
799.84	-0.00727062		
800.04	-0.00735461		
800.24	-0.00718916		
800.44	-0.00708014		
800.64	-0.00707141		
800.84	-0.00698268		
801.04	-0.00672272		
801.24	-0.0069775		
801.44	-0.00684988		
801.64	-0.00677672		
801.84	-0.00688937		
802.04	-0.00695732		
802.24	-0.00657606		
802.44	-0.0064078		
802.64	-0.00658252		
802.84	-0.00645604		
803.04	-0.0063007		
803.24	-0.00674608		
803.44	-0.00689598		
803.64	-0.00698179		
803.84	-0.00716908		
804.04	-0.00699947		
804.24	-0.00692983		
804.44	-0.00706738		
804.64	-0.0071735		
804.84	-0.0070885		
805.04	-0.00703686		
805.24	-0.00748444		
805.44	-0.00712424		
805.64	-0.00731859		
805.84	-0.00726855		
806.04	-0.00721658		
806.24	-0.00696361		
806.44	-0.00699233		
806.64	-0.00667781		
806.84	-0.00638534		
807.04	-0.00622869		
807.24	-0.00595731		
807.44	-0.00579702		
807.64	-0.00531522		
807.84	-0.00499024		
808.04	-0.00498244		
808.24	-0.00479921		
808.44	-0.00489264		
808.64	-0.00499111		
808.84	-0.00496524		
809.04	-0.00513711		
809.24	-0.0056717		
809.44	-0.00586758		
809.64	-0.00624222		
809.84	-0.00637163		
810.04	-0.00670098		
810.24	-0.00685152		
810.44	-0.00716586		
810.64	-0.00709019		
810.84	-0.00733379		
811.04	-0.00740554		
811.24	-0.0075062		
811.44	-0.00750579		
811.64	-0.00720378		
811.84	-0.00711872		
812.04	-0.00724198		
812.24	-0.00698908		
812.44	-0.00709975		
812.64	-0.0069236		
812.84	-0.00650976		
813.04	-0.0064218		
813.24	-0.00662279		
813.44	-0.00685373		
813.64	-0.00664286		
813.84	-0.00644438		
814.04	-0.00661249		
814.24	-0.00703093		
814.44	-0.00719002		
814.64	-0.00708876		
814.84	-0.00699533		
815.04	-0.00699051		
