Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
799.84	0.01173754		
800.04	0.01297314		
800.24	0.01460715		
800.44	0.0161082		
800.64	0.01746476		
800.84	0.01852408		
801.04	0.01961806		
801.24	0.02031064		
801.44	0.02074699		
801.64	0.02114974		
801.84	0.02134113		
802.04	0.02099185		
802.24	0.02108141		
802.44	0.0210164		
802.64	0.02087179		
802.84	0.02036465		
803.04	0.01963881		
803.24	0.01956405		
803.44	0.01975165		
803.64	0.01966624		
803.84	0.01925447		
804.04	0.01892777		
804.24	0.01877789		
804.44	0.01819665		
804.64	0.01817688		
804.84	0.01772073		
805.04	0.01759508		
805.24	0.01729736		
805.44	0.01738122		
805.64	0.01755247		
805.84	0.01771703		
806.04	0.01777161		
806.24	0.01782531		
806.44	0.01751162		
806.64	0.01719849		
806.84	0.01690187		
807.04	0.016847		
807.24	0.01747656		
807.44	0.01752212		
807.64	0.01762595		
807.84	0.01732033		
808.04	0.01730826		
808.24	0.01735524		
808.44	0.01746359		
808.64	0.01801289		
808.84	0.0178752		
809.04	0.01799214		
809.24	0.01784603		
809.44	0.01801642		
809.64	0.01790779		
809.84	0.01789009		
810.04	0.01781113		
810.24	0.01773207		
810.44	0.01782179		
810.64	0.01767866		
810.84	0.0176874		
811.04	0.01747406		
811.24	0.01737573		
811.44	0.01722906		
811.64	0.0171372		
811.84	0.01680366		
812.04	0.01675476		
812.24	0.01675778		
812.44	0.01672322		
812.64	0.01672237		
812.84	0.01651288		
813.04	0.01620654		
813.24	0.01601613		
813.44	0.01612744		
813.64	0.01604877		
813.84	0.01593003		
814.04	0.01618148		
814.24	0.01657526		
814.44	0.0166709		
814.64	0.01672742		
814.84	0.01679903		
815.04	0.01663016		
815.24	0.01685637		
815.44	0.0171514		
815.64	0.01742382		
815.84	0.0176172		
816.04	0.01766883		
816.24	0.0179583		
816.44	0.01784991		
816.64	0.0175329		
816.84	0.01744709		
817.04	0.01714534		
817.24	0.01666643		
817.44	0.01675174		
817.64	0.01646467		
817.84	0.01614956		
818.04	0.0158786		
818.24	0.01579175		
818.44	0.01555858		
818.64	0.01571678		
818.84	0.01555244		
819.04	0.01571752		
819.24	0.01583204		
819.44	0.01593626		
819.64	0.01623991		
819.84	0.01623684		
820.04	0.01615071		
820.24	0.01598171		
820.44	0.01554807		
820.64	0.01544458		
820.84	0.015518		
821.04	0.01555606		
821.24	0.0155114		
821.44	0.0158699		
821.64	0.01570527		
821.84	0.01557098		
822.04	0.01537532		
822.24	0.0154577		
822.44	0.01515503		
822.64	0.01491484		
822.84	0.01482213		
823.04	0.01477909		
823.24	0.01452471		
823.44	0.01471443		
823.64	0.01467468		
