Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
799.84	0.01772158		
800.04	0.01882189		
800.24	0.0197377		
800.44	0.02037409		
800.64	0.02133209		
800.84	0.02198073		
801.04	0.02237831		
801.24	0.02257965		
801.44	0.02316792		
801.64	0.0234339		
801.84	0.02299774		
802.04	0.0224298		
802.24	0.02246145		
802.44	0.02236062		
802.64	0.02225861		
802.84	0.02194387		
803.04	0.02202849		
803.24	0.02196517		
803.44	0.02153688		
803.64	0.02131753		
803.84	0.02104765		
804.04	0.02072225		
804.24	0.02050191		
804.44	0.02000556		
804.64	0.02001884		
804.84	0.01975222		
805.04	0.01957331		
805.24	0.01971935		
805.44	0.02023522		
805.64	0.02017833		
805.84	0.02005773		
806.04	0.02028401		
806.24	0.02033147		
806.44	0.02051915		
806.64	0.02066072		
806.84	0.02070353		
807.04	0.02079842		
807.24	0.02051624		
807.44	0.02057089		
807.64	0.02056398		
807.84	0.02042051		
808.04	0.0205373		
808.24	0.02037443		
808.44	0.019732		
808.64	0.01962566		
808.84	0.01999832		
809.04	0.02029791		
809.24	0.02038891		
809.44	0.02066095		
809.64	0.02072237		
809.84	0.02061638		
810.04	0.02048636		
810.24	0.02020803		
810.44	0.02008709		
810.64	0.019645		
810.84	0.01961856		
811.04	0.01950862		
811.24	0.01926814		
811.44	0.01941289		
811.64	0.01908765		
811.84	0.01875005		
812.04	0.01846289		
812.24	0.0180335		
812.44	0.01792205		
812.64	0.01819519		
812.84	0.01888431		
813.04	0.01892343		
813.24	0.01884461		
813.44	0.01919372		
813.64	0.01921839		
813.84	0.01917476		
814.04	0.01918687		
814.24	0.01919918		
814.44	0.01924652		
814.64	0.01925991		
814.84	0.01949311		
815.04	0.01961213		
815.24	0.01977139		
815.44	0.01960732		
815.64	0.01955879		
815.84	0.01932834		
816.04	0.01924779		
816.24	0.01912625		
816.44	0.01893486		
816.64	0.01877921		
816.84	0.01853052		
817.04	0.01855631		
817.24	0.01840988		
817.44	0.01826389		
817.64	0.01819027		
817.84	0.01793062		
818.04	0.01781574		
818.24	0.01787789		
818.44	0.01787529		
818.64	0.01774183		
818.84	0.01780234		
819.04	0.01809614		
819.24	0.01839139		
819.44	0.01816853		
819.64	0.01850033		
819.84	0.0184026		
820.04	0.01857816		
820.24	0.01886319		
820.44	0.01886014		
820.64	0.01896433		
820.84	0.01876213		
821.04	0.0190124		
821.24	0.0187786		
821.44	0.01879781		
821.64	0.01883093		
821.84	0.01843648		
822.04	0.01827575		
822.24	0.017987		
822.44	0.01762957		
822.64	0.01714667		
822.84	0.01730794		
823.04	0.0175432		
823.24	0.01770351		
823.44	0.01752115		
823.64	0.01767874		
823.84	0.01732328		
824.04	0.01770719		
824.24	0.01791405		
824.44	0.01784593		
824.64	0.0179111		
824.84	0.01777996		
825.04	0.01798525		
825.24	0.01818508		
825.44	0.01838031		
825.64	0.01821942		
825.84	0.01798785		
826.04	0.01780543		
826.24	0.01764029		
826.44	0.01761681		
826.64	0.01757568		
826.84	0.01777836		
827.04	0.01786645		
827.24	0.0177713		
827.44	0.01743246		
827.64	0.01719483		
827.84	0.01725723		
828.04	0.0175888		
828.24	0.01765442		
828.44	0.01758958		
828.64	0.01746807		
828.84	0.01723769		
829.04	0.01702177		
829.24	0.0167824		
829.44	0.01632964		
829.64	0.01572369		
829.84	0.01539958		
830.04	0.01519542		
830.24	0.01479408		
830.44	0.01479141		
830.64	0.01506725		
