Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
799.84	0.02367461		
800.04	0.02414201		
800.24	0.02466624		
800.44	0.02518503		
800.64	0.02593598		
800.84	0.02653977		
801.04	0.02691255		
801.24	0.02710254		
801.44	0.02714356		
801.64	0.02711587		
801.84	0.02648502		
802.04	0.02579398		
802.24	0.02513963		
802.44	0.02494992		
802.64	0.02449807		
802.84	0.02428169		
803.04	0.02410695		
803.24	0.02367028		
803.44	0.02379988		
803.64	0.02376054		
803.84	0.02381539		
804.04	0.02325891		
804.24	0.0232304		
804.44	0.02334134		
804.64	0.02348657		
804.84	0.02306646		
805.04	0.02260324		
805.24	0.02252253		
805.44	0.02220553		
805.64	0.02169771		
805.84	0.02104929		
806.04	0.02089463		
806.24	0.02106521		
806.44	0.0211273		
806.64	0.02089478		
806.84	0.0209956		
807.04	0.02112657		
807.24	0.02115867		
807.44	0.02115179		
807.64	0.02091152		
807.84	0.02074048		
808.04	0.02078454		
808.24	0.02088835		
808.44	0.02097559		
808.64	0.02097856		
808.84	0.02071028		
809.04	0.02066471		
809.24	0.0207764		
809.44	0.02050759		
809.64	0.02045877		
809.84	0.02062721		
810.04	0.02077014		
810.24	0.02128982		
810.44	0.02112422		
810.64	0.02129127		
810.84	0.02163599		
811.04	0.02156953		
811.24	0.02144825		
811.44	0.02177112		
811.64	0.02168363		
811.84	0.02146132		
812.04	0.02151401		
812.24	0.02128837		
812.44	0.02087214		
812.64	0.02056892		
812.84	0.02004121		
813.04	0.01998972		
813.24	0.01981387		
813.44	0.01968128		
813.64	0.02003689		
813.84	0.02014343		
814.04	0.02009952		
814.24	0.02027051		
814.44	0.02000321		
814.64	0.02015559		
814.84	0.02044442		
815.04	0.02056624		
815.24	0.02084721		
815.44	0.02107671		
815.64	0.02041107		
815.84	0.02004458		
816.04	0.01984925		
816.24	0.01981798		
816.44	0.01941811		
816.64	0.01952941		
816.84	0.01947969		
817.04	0.019619		
817.24	0.01939403		
817.44	0.01930132		
817.64	0.01952471		
817.84	0.01929076		
818.04	0.0190527		
818.24	0.01902735		
818.44	0.0190496		
818.64	0.01869007		
818.84	0.01848911		
819.04	0.01875775		
819.24	0.01867525		
819.44	0.01833615		
819.64	0.01807534		
