Conc1	0.0	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
799.84	-0.0047524		
800.04	-0.00547562		
800.24	-0.00570551		
800.44	-0.00627463		
800.64	-0.00663318		
800.84	-0.00684908		
801.04	-0.00711647		
801.24	-0.00694969		
801.44	-0.00688009		
801.64	-0.00680331		
801.84	-0.00668426		
802.04	-0.00624059		
802.24	-0.00633692		
802.44	-0.00639562		
802.64	-0.00656763		
802.84	-0.00686725		
803.04	-0.00678131		
803.24	-0.00763897		
803.44	-0.00794644		
803.64	-0.00841114		
803.84	-0.00871217		
804.04	-0.00902746		
804.24	-0.00906648		
804.44	-0.00956932		
804.64	-0.00950034		
804.84	-0.00927336		
805.04	-0.00904816		
805.24	-0.0084235		
805.44	-0.00831652		
805.64	-0.00807933		
805.84	-0.00732673		
806.04	-0.00695408		
806.24	-0.00734765		
806.44	-0.00710943		
806.64	-0.00736687		
806.84	-0.00754762		
807.04	-0.00728776		
807.24	-0.00769723		
807.44	-0.00740059		
807.64	-0.00749171		
807.84	-0.00719689		
808.04	-0.00737632		
808.24	-0.00770179		
808.44	-0.00796385		
808.64	-0.00790941		
808.84	-0.00821401		
809.04	-0.00804027		
809.24	-0.0080127		
809.44	-0.00810363		
809.64	-0.00807655		
809.84	-0.00803698		
810.04	-0.0083769		
810.24	-0.00862145		
810.44	-0.00851368		
810.64	-0.00868763		
810.84	-0.00869283		
811.04	-0.00843771		
811.24	-0.00852348		
811.44	-0.00824957		
811.64	-0.00819929		
811.84	-0.00798411		
812.04	-0.00802253		
812.24	-0.00771152		
812.44	-0.00767463		
812.64	-0.00756922		
812.84	-0.00758194		
813.04	-0.00749533		
813.24	-0.00779738		
813.44	-0.00794632		
813.64	-0.00814043		
813.84	-0.0081758		
814.04	-0.00836485		
814.24	-0.00838682		
814.44	-0.00877434		
814.64	-0.00883099		
814.84	-0.0086932		
815.04	-0.00871408		
815.24	-0.00886589		
815.44	-0.00931009		
815.64	-0.00929703		
815.84	-0.00907387		
816.04	-0.009086		
816.24	-0.00922747		
816.44	-0.00950619		
816.64	-0.00956847		
816.84	-0.00975261		
817.04	-0.01021237		
817.24	-0.01044603		
817.44	-0.01039946		
817.64	-0.01044165		
817.84	-0.01070864		
818.04	-0.01088012		
818.24	-0.0106457		
818.44	-0.0105153		
818.64	-0.00992698		
818.84	-0.00940307		
819.04	-0.00936832		
819.24	-0.00917151		
819.44	-0.00918944		
819.64	-0.0089583		
819.84	-0.00883367		
820.04	-0.00865535		
820.24	-0.00883365		
820.44	-0.0084649		
820.64	-0.00833071		
820.84	-0.00833156		
821.04	-0.00795615		
821.24	-0.00771206		
821.44	-0.00772732		
821.64	-0.00769343		
821.84	-0.0078918		
822.04	-0.00787802		
822.24	-0.00808438		
822.44	-0.00805563		
822.64	-0.00843299		
822.84	-0.00876887		
