Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
799.84	0.01866865		
800.04	0.01962746		
800.24	0.02077501		
800.44	0.02158869		
800.64	0.02253593		
800.84	0.02360247		
801.04	0.02413777		
801.24	0.02422944		
801.44	0.02464761		
801.64	0.02447441		
801.84	0.02416083		
802.04	0.02363682		
802.24	0.02357269		
802.44	0.02405953		
802.64	0.02417526		
802.84	0.02416283		
803.04	0.02399281		
803.24	0.02381776		
803.44	0.02381978		
803.64	0.02378641		
803.84	0.02367737		
804.04	0.02355449		
804.24	0.0238053		
804.44	0.02344431		
804.64	0.02361103		
804.84	0.02327565		
805.04	0.02262465		
805.24	0.02199783		
805.44	0.02188588		
805.64	0.02162143		
805.84	0.0214511		
806.04	0.02145168		
806.24	0.02142273		
806.44	0.02113921		
806.64	0.02078035		
806.84	0.02033583		
807.04	0.02017161		
807.24	0.02030807		
807.44	0.02038131		
807.64	0.02020446		
807.84	0.0200188		
808.04	0.02034418		
808.24	0.02033249		
808.44	0.01991939		
808.64	0.02015986		
808.84	0.01993701		
809.04	0.02005163		
809.24	0.01999265		
809.44	0.02035267		
809.64	0.02063528		
809.84	0.02068107		
810.04	0.02116532		
810.24	0.02126		
810.44	0.02137799		
810.64	0.02150939		
810.84	0.02135323		
811.04	0.02141655		
811.24	0.02143158		
811.44	0.02140045		
811.64	0.02121018		
811.84	0.02125894		
812.04	0.02099361		
812.24	0.02050459		
812.44	0.02015232		
812.64	0.02016957		
812.84	0.01983518		
813.04	0.01987669		
813.24	0.0196231		
813.44	0.01960337		
813.64	0.01934552		
813.84	0.01927697		
814.04	0.01937741		
814.24	0.01933258		
814.44	0.01944987		
814.64	0.01948584		
814.84	0.01963855		
815.04	0.01972637		
815.24	0.01967699		
815.44	0.01981269		
815.64	0.0199537		
815.84	0.01995067		
816.04	0.01951041		
816.24	0.01937257		
816.44	0.01952024		
816.64	0.01961557		
816.84	0.01985923		
817.04	0.01980855		
817.24	0.01943914		
817.44	0.01944526		
817.64	0.01947363		
817.84	0.01933982		
818.04	0.01935996		
818.24	0.01945413		
818.44	0.01931139		
818.64	0.01947198		
818.84	0.01949333		
819.04	0.01942469		
819.24	0.01965602		
819.44	0.01975526		
819.64	0.02004753		
819.84	0.02015561		
820.04	0.01998029		
820.24	0.02006172		
820.44	0.02028581		
820.64	0.02026854		
820.84	0.020592		
821.04	0.02032519		
821.24	0.0203627		
821.44	0.02015993		
821.64	0.01995665		
821.84	0.01935753		
822.04	0.01877702		
822.24	0.01829299		
822.44	0.01811258		
822.64	0.01846775		
822.84	0.01832115		
823.04	0.0186571		
823.24	0.01877736		
823.44	0.01878811		
823.64	0.0188196		
823.84	0.01900219		
824.04	0.01893695		
824.24	0.01919542		
824.44	0.01928278		
824.64	0.01947096		
824.84	0.01989139		
825.04	0.0200203		
825.24	0.01997014		
825.44	0.01963222		
825.64	0.01957132		
825.84	0.01942126		
826.04	0.01931521		
826.24	0.01922849		
826.44	0.01947812		
826.64	0.01982877		
826.84	0.01991926		
827.04	0.01987428		
827.24	0.01975126		
827.44	0.01959264		
827.64	0.01940148		
827.84	0.01963714		
828.04	0.01941714		
828.24	0.01940668		
828.44	0.01915765		
828.64	0.01910273		
828.84	0.01921297		
829.04	0.01896123		
829.24	0.01837203		
829.44	0.01815237		
829.64	0.01857829		
829.84	0.01818909		
830.04	0.01785176		
830.24	0.01772919		
830.44	0.01772338		
830.64	0.01772097		
830.84	0.01772608		
831.04	0.01723834		
831.24	0.01750198		
831.44	0.01721408		
831.64	0.01738524		
831.84	0.0175021		
832.04	0.017585		
832.24	0.01770994		
832.44	0.01736766		
832.64	0.01744204		
832.84	0.01740347		
833.04	0.01753341		
833.24	0.01747096		
833.44	0.01793118		
833.64	0.01853327		
833.84	0.01793951		
834.04	0.01823014		
834.24	0.01822783		
834.44	0.01834868		
834.64	0.01830865		
834.84	0.01859355		
835.04	0.01818313		
835.24	0.01812948		
835.44	0.0178746		
835.64	0.0180657		
835.84	0.01794801		
836.04	0.01807596		
836.24	0.01758847		
836.44	0.01736607		
836.64	0.01761423		
836.84	0.01750705		
837.04	0.01753361		
837.24	0.01736155		
837.44	0.01753516		
837.64	0.01756728		
837.84	0.01728864		
838.04	0.017567		
838.24	0.01745658		
838.44	0.01779248		
838.64	0.01767008		
838.84	0.01768628		
839.04	0.01715795		
839.24	0.01734142		
839.44	0.01749222		
839.64	0.01792814		
839.84	0.01779517		
840.04	0.01815281		
840.24	0.01786209		
840.44	0.01794594		
840.64	0.01810541		
840.84	0.01799366		
841.04	0.01795852		
841.24	0.01812878		
841.44	0.01811116		
841.64	0.01813555		
841.84	0.01796249		
842.04	0.01811365		
842.24	0.0181075		
842.44	0.01817505		
842.64	0.0178467		
842.84	0.01729123		
843.04	0.0170342		
843.24	0.01692127		
843.44	0.016983		
843.64	0.0170178		
843.84	0.0167601		
844.04	0.01696386		
844.24	0.01655983		
844.44	0.01645458		
844.64	0.01651094		
844.84	0.01639578		
845.04	0.01649876		
845.24	0.01690619		
845.44	0.01672846		
845.64	0.01694471		
845.84	0.01688599		
846.04	0.0172844		
846.24	0.01711104		
846.44	0.01676898		
846.64	0.01626832		
846.84	0.01604428		
847.04	0.01615903		
847.24	0.01587616		
847.44	0.01638494		
847.64	0.0162262		
847.84	0.01628018		
848.04	0.01624672		
848.24	0.01596843		
848.44	0.01580139		
848.64	0.01612176		
848.84	0.01624845		
849.04	0.01663711		
849.24	0.01719717		
849.44	0.01727281		
849.64	0.01730175		
849.84	0.01732829		
850.04	0.01716911		
850.24	0.01691446		
850.44	0.01681308		
850.64	0.01661746		
850.84	0.01677233		
851.04	0.01681923		
851.24	0.01666255		
851.44	0.01683008		
851.64	0.0163162		
851.84	0.01634888		
852.04	0.01617526		
852.24	0.0160571		
852.44	0.01618962		
852.64	0.01638046		
852.84	0.01638411		
853.04	0.0165524		
853.24	0.01685276		
853.44	0.01660169		
853.64	0.0167592		
853.84	0.01704232		
854.04	0.01715988		
854.24	0.01753247		
854.44	0.01783884		
854.64	0.01785358		
854.84	0.01819306		
855.04	0.01817514		
855.24	0.01806887		
855.44	0.01783285		
855.64	0.01766216		
855.84	0.01786737		
856.04	0.01781213		
856.24	0.01775502		
856.44	0.01750261		
856.64	0.01695252		
856.84	0.01701284		
857.04	0.01685688		
857.24	0.01649157		
857.44	0.01646841		
857.64	0.0165829		
857.84	0.01666125		
858.04	0.01688019		
858.24	0.01695307		
858.44	0.01703534		
858.64	0.0167061		
858.84	0.01683026		
859.04	0.01658315		
859.24	0.01641128		
859.44	0.01640809		
859.64	0.01671037		
859.84	0.01672969		
860.04	0.01639173		
860.24	0.01621939		
860.44	0.01586353		
860.64	0.0158336		
860.84	0.01582247		
861.04	0.01566555		
861.24	0.01536152		
861.44	0.01564797		
861.64	0.0156038		
861.84	0.01575413		
862.04	0.01550729		
862.24	0.01539275		
862.44	0.01530565		
862.64	0.01494894		
862.84	0.01519544		
863.04	0.01517522		
863.24	0.01523804		
863.44	0.01559664		
863.64	0.01562034		
863.84	0.01535747		
864.04	0.01547298		
864.24	0.01558205		
864.44	0.01533309		
864.64	0.01543192		
864.84	0.01545559		
865.04	0.01586347		
865.24	0.01599566		
865.44	0.01608328		
865.64	0.01586729		
865.84	0.01587675		
866.04	0.01568332		
866.24	0.01561773		
866.44	0.01568897		
866.64	0.01579425		
866.84	0.01608138		
867.04	0.01623759		
867.24	0.01658105		
867.44	0.01697032		
867.64	0.01702588		
867.84	0.01677205		
868.04	0.01702515		
868.24	0.01673886		
868.44	0.01669534		
868.64	0.01657174		
868.84	0.01665523		
869.04	0.01658653		
869.24	0.01654318		
869.44	0.01636312		
869.64	0.01606088		
869.84	0.01590319		
870.04	0.01540614		
870.24	0.01526598		
870.44	0.01525607		
870.64	0.01535722		
870.84	0.01507574		
871.04	0.0151649		
871.24	0.01510888		
871.44	0.01492575		
871.64	0.01516564		
871.84	0.01516694		
872.04	0.0157659		
872.24	0.01601391		
872.44	0.01637187		
872.64	0.01652979		
872.84	0.01689686		
873.04	0.01724529		
873.24	0.01754804		
873.44	0.01751421		
873.64	0.01747657		
873.84	0.01740359		
874.04	0.01725743		
874.24	0.01713084		
874.44	0.01712676		
874.64	0.01695511		
874.84	0.01645328		
875.04	0.01622502		
875.24	0.01607683		
875.44	0.01599767		
875.64	0.01619451		
875.84	0.0162274		
876.04	0.01649826		
876.24	0.01659008		
876.44	0.01660737		
876.64	0.01654493		
876.84	0.01630899		
877.04	0.01619243		
877.24	0.01600937		
877.44	0.01592311		
877.64	0.01597988		
877.84	0.01570946		
878.04	0.01569307		
878.24	0.01586258		
878.44	0.01616315		
878.64	0.01578909		
878.84	0.01592763		
879.04	0.01593791		
879.24	0.01604743		
879.44	0.01587718		
879.64	0.01611916		
879.84	0.01643247		
880.04	0.01657312		
880.24	0.01663872		
880.44	0.01673486		
880.64	0.0167501		
880.84	0.01666841		
881.04	0.01660751		
881.24	0.01617749		
881.44	0.01601188		
881.64	0.01604919		
881.84	0.01581773		
882.04	0.01610106		
882.24	0.01596556		
882.44	0.01577003		
882.64	0.01549708		
882.84	0.01564966		
883.04	0.01544538		
883.24	0.0152687		
883.44	0.0151611		
883.64	0.01547551		
883.84	0.01551477		
884.04	0.0158401		
884.24	0.01603639		
884.44	0.01585654		
884.64	0.01555657		
884.84	0.01539136		
885.04	0.01522307		
885.24	0.01486317		
885.44	0.01534245		
885.64	0.01556011		
885.84	0.01544473		
886.04	0.01527868		
886.24	0.01523133		
886.44	0.01526241		
886.64	0.01543659		
886.84	0.01560908		
887.04	0.01583002		
887.24	0.0159385		
887.44	0.01598399		
887.64	0.01627008		
887.84	0.01608488		
888.04	0.01627934		
888.24	0.0161224		
888.44	0.01577764		
888.64	0.01541314		
888.84	0.01542674		
889.04	0.01543472		
889.24	0.01544214		
889.44	0.01568959		
889.64	0.0156662		
889.84	0.01547607		
890.04	0.01530569		
890.24	0.01519293		
890.44	0.01523158		
890.64	0.01530629		
890.84	0.01535874		
891.04	0.0153523		
891.24	0.01515677		
891.44	0.0145577		
891.64	0.01410091		
891.84	0.01393898		
892.04	0.01414244		
892.24	0.01416848		
892.44	0.01403838		
892.64	0.01392057		
892.84	0.0143726		
893.04	0.01475112		
893.24	0.01513339		
