Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs	0.00131271230711122	
Error Kobs	9.44492556498126E-06	
Koff	0.00304940704121411	
Error Koff	4.10650047979495E-06	
Time1	Data1	Fit1	
799.84	0.05603037	0.05603037	
800.04	0.06997244	0.08552972	
800.24	0.08619749	0.11428523	
800.44	0.10465833	0.1423157	
800.64	0.12582289	0.16963948	
800.84	0.14855052	0.19627442	
801.04	0.17234916	0.22223795	
801.24	0.19775099	0.24754705	
801.44	0.2232784	0.27221825	
801.64	0.24849661	0.29626769	
801.84	0.27311905	0.31971109	
802.04	0.29611279	0.34256377	
802.24	0.31846476	0.36484067	
802.44	0.34096991	0.38655635	
802.64	0.36377435	0.40772499	
802.84	0.38567084	0.42836043	
803.04	0.40731186	0.44847616	
803.24	0.42898121	0.4680853	
803.44	0.45062996	0.48720067	
803.64	0.47195867	0.50583476	
803.84	0.49307986	0.52399973	
804.04	0.51343908	0.54170745	
804.24	0.53357595	0.55896947	
804.44	0.55329762	0.57579706	
804.64	0.57325315	0.59220122	
804.84	0.59226408	0.60819264	
805.04	0.6110898	0.62378176	
805.24	0.63000798	0.63897875	
805.44	0.64756938	0.65379353	
805.64	0.66489516	0.66823576	
805.84	0.68196049	0.68231486	
806.04	0.69837784	0.69604001	
806.24	0.71423348	0.70942017	
806.44	0.72998639	0.72246404	
806.64	0.74510628	0.73518015	
806.84	0.75941223	0.74757677	
807.04	0.77405731	0.75966197	
807.24	0.78772077	0.77144365	
807.44	0.80150334	0.78292946	
807.64	0.81445861	0.79412689	
807.84	0.8271958	0.80504324	
808.04	0.83939697	0.8156856	
808.24	0.85137561	0.82606091	
808.44	0.8630756	0.83617591	
808.64	0.87438802	0.8460372	
808.84	0.88507025	0.85565117	
809.04	0.89568435	0.8650241	
809.24	0.90597871	0.87416206	
809.44	0.9157943	0.883071	
809.64	0.9253689	0.89175672	
809.84	0.93452585	0.90022485	
810.04	0.9430926	0.9084809	
810.24	0.95172221	0.91653023	
810.44	0.96007025	0.92437806	
810.64	0.96751508	0.9320295	
810.84	0.97491027	0.93948949	
811.04	0.9826441	0.9467629	
811.24	0.98948361	0.95385442	
811.44	0.99612693	0.96076867	
811.64	1.00164919	0.96751012	
811.84	1.00711973	0.97408314	
812.04	1.01302037	0.98049199	
812.24	1.01816046	0.98674082	
812.44	1.02279197	0.99283368	
812.64	1.02720653	0.99877451	
812.84	1.03181107	1.00456715	
813.04	1.03653222	1.01021535	
813.24	1.04114988	1.01572276	
813.44	1.0461234	1.02109294	
813.64	1.05036201	1.02632936	
813.84	1.05413641	1.0314354	
814.04	1.05821368	1.03641436	
814.24	1.06270388	1.04126946	
814.44	1.06668668	1.04600381	
814.64	1.0704286	1.05062048	
814.84	1.07370009	1.05512244	
