Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs	0.127352613853225	
Error Kobs	0.000506610228150473	
Koff	0.00329707013979775	
Error Koff	5.0936972899594E-06	
Time1	Data1	Fit1	
799.84	0.05312505	0.05312505	
800.04	0.06688914	0.08225823	
800.24	0.08291467	0.11066076	
800.44	0.10111184	0.13835102	
800.64	0.12166249	0.16534692	
800.84	0.14374012	0.19166592	
801.04	0.16690412	0.21732504	
801.24	0.19194799	0.24234088	
801.44	0.21658922	0.26672961	
801.64	0.24101916	0.29050701	
801.84	0.26513976	0.31368845	
802.04	0.28746159	0.33628891	
802.24	0.30929264	0.35832301	
802.44	0.33132922	0.37980499	
802.64	0.35388598	0.40074873	
802.84	0.37567378	0.42116778	
803.04	0.39728754	0.44107532	
803.24	0.41938517	0.46048421	
803.44	0.44134056	0.479407	
803.64	0.46293768	0.49785592	
803.84	0.48409697	0.51584288	
804.04	0.50446942	0.53337949	
804.24	0.5247102	0.55047708	
804.44	0.54480954	0.5671467	
804.64	0.56466459	0.5833991	
804.84	0.58357698	0.59924477	
805.04	0.60184307	0.61469395	
805.24	0.62068928	0.62975661	
805.44	0.63767462	0.64444246	
805.64	0.65550658	0.65876098	
805.84	0.67268671	0.67272142	
806.04	0.68924947	0.68633276	
806.24	0.70502919	0.6996038	
806.44	0.72074963	0.71254309	
806.64	0.73566259	0.72515897	
806.84	0.74997697	0.73745958	
807.04	0.76368492	0.74945284	
807.24	0.77719859	0.76114648	
807.44	0.79060146	0.77254804	
807.64	0.80314568	0.78366487	
807.84	0.81539536	0.79450411	
808.04	0.82747831	0.80507276	
808.24	0.83901626	0.81537762	
808.44	0.85052401	0.82542532	
808.64	0.86164188	0.83522232	
808.84	0.87211613	0.84477494	
809.04	0.88250068	0.85408932	
809.24	0.89316039	0.86317144	
809.44	0.90315281	0.87202716	
809.64	0.91322125	0.88066215	
809.84	0.92209621	0.88908198	
810.04	0.93098392	0.89729205	
810.24	0.93906679	0.90529764	
810.44	0.94715861	0.91310389	
810.64	0.95456158	0.92071582	
810.84	0.96206468	0.9281383	
811.04	0.96920806	0.93537611	
811.24	0.97668216	0.94243388	
811.44	0.98313909	0.94931614	
811.64	0.98910441	0.95602732	
811.84	0.9949409	0.9625717	
812.04	1.00087655	0.96895349	
812.24	1.00626984	0.97517677	
812.44	1.01193843	0.98124552	
812.64	1.01699296	0.98716365	
812.84	1.02157205	0.99293492	
813.04	1.02644809	0.99856303	
813.24	1.03096269	1.00405159	
813.44	1.03575497	1.00940411	
813.64	1.03979732	1.01462399	
813.84	1.04313174	1.01971459	
814.04	1.04693625	1.02467914	
814.24	1.05078211	1.02952083	
814.44	1.05474755	1.03424273	
814.64	1.058516	1.03884786	
814.84	1.06232825	1.04333916	
815.04	1.06582859	1.04771949	
815.24	1.06931071	1.05199163	
815.44	1.07218891	1.05615832	
815.64	1.07567185	1.0602222	
815.84	1.07847555	1.06418585	
816.04	1.08146573	1.0680518	
816.24	1.08364176	1.0718225	
816.44	1.08606962	1.07550035	
816.64	1.0884392	1.07908768	
816.84	1.09057948	1.08258676	
817.04	1.09330749	1.08599983	
817.24	1.09538331	1.08932903	
817.44	1.09784566	1.09257649	
817.64	1.09962471	1.09574424	
817.84	1.10112247	1.0988343	
818.04	1.10318999	1.10184863	
818.24	1.10543771	1.10478912	
818.44	1.10764699	1.10765762	
818.64	1.10969797	1.11045596	
818.84	1.11147791	1.1131859	
819.04	1.11334057	1.11584915	
819.24	1.11542395	1.11844739	
819.44	1.11777652	1.12098226	
819.64	1.11959384	1.12345534	
819.84	1.12073325	1.1258682	
820.04	1.12230447	1.12822235	
820.24	1.12394611	1.13051925	
820.44	1.12591127	1.13276036	
820.64	1.12745994	1.13494708	
820.84	1.1289196	1.13708076	
821.04	1.13015209	1.13916275	
821.24	1.13112697	1.14119434	
821.44	1.13205981	1.14317681	
821.64	1.13368601	1.14511138	
821.84	1.13486543	1.14699926	
822.04	1.13603523	1.14884162	
822.24	1.13740877	1.15063962	
822.44	1.13837338	1.15239435	
822.64	1.13917776	1.15410692	
822.84	1.13975853	1.15577838	
823.04	1.14110177	1.15740976	
823.24	1.14235907	1.15900207	
823.44	1.14347502	1.1605563	
823.64	1.14434264	1.1620734	
823.84	1.14544071	1.1635543	
824.04	1.1469151	1.16499992	
824.24	1.14853317	1.16641113	
824.44	1.14948191	1.16778882	
824.64	1.15050782	1.16913381	
824.84	1.15181955	1.17044693	
825.04	1.15239357	1.17172898	
825.24	1.1535799	1.17298074	
825.44	1.15442468	1.17420298	
825.64	1.15570535	1.17539643	
825.84	1.15607008	1.17656182	
826.04	1.15668535	1.17769985	
826.24	1.15744818	1.17881121	
826.44	1.15812883	1.17989658	
826.64	1.15861317	1.1809566	
826.84	1.1595554	1.18199191	
827.04	1.16081792	1.18300313	
827.24	1.16138298	1.18399087	
827.44	1.16214096	1.18495572	
827.64	1.16284471	1.18589825	
827.84	1.16341549	1.18681903	
828.04	1.16414067	1.1877186	
828.24	1.16485096	1.18859748	
828.44	1.16561341	1.18945622	
828.64	1.16650226	1.1902953	
828.84	1.16747492	1.19111522	
829.04	1.16798121	1.19191647	
829.24	1.16916237	1.19269951	
829.44	1.17012911	1.1934648	
829.64	1.17046931	1.19421279	
829.84	1.17091452	1.19494391	
830.04	1.1719856	1.19565858	
830.24	1.17239377	1.19635722	
830.44	1.17287228	1.19704024	
830.64	1.17342122	1.19770801	
830.84	1.17416146	1.19836093	
831.04	1.17477643	1.19899938	
831.24	1.17474739	1.1996237	
831.44	1.17555586	1.20023426	
831.64	1.1755419	1.2008314	
831.84	1.17561921	1.20141547	
832.04	1.17625115	1.20198678	
832.24	1.17711909	1.20254566	
832.44	1.17763173	1.20309242	
832.64	1.17837625	1.20362736	
832.84	1.17903757	1.20415079	
833.04	1.1797899	1.20466299	
833.24	1.18072914	1.20516424	
833.44	1.18115581	1.20565481	
833.64	1.1808843	1.20613499	
833.84	1.18111835	1.20660501	
834.04	1.18199113	1.20706515	
834.24	1.18205897	1.20751565	
834.44	1.18230892	1.20795675	
834.64	1.18227458	1.20838869	
834.84	1.18264906	1.20881169	
835.04	1.18311245	1.20922599	
835.24	1.18319172	1.20963179	
835.44	1.18377977	1.21002932	
835.64	1.18382861	1.21041878	
835.84	1.18453746	1.21080037	
836.04	1.18504288	1.21117429	
836.24	1.1857216	1.21154073	
836.44	1.18565932	1.21189988	
836.64	1.18690477	1.21225193	
836.84	1.18758635	1.21259705	
837.04	1.18852424	1.21293541	
837.24	1.18928497	1.21326718	
837.44	1.18984201	1.21359254	
837.64	1.1903185	1.21391164	
837.84	1.19105033	1.21422463	
838.04	1.19173713	1.21453167	
838.24	1.1919275	1.21483291	
838.44	1.19242802	1.2151285	
838.64	1.19209595	1.21541858	
838.84	1.1927888	1.21570328	
839.04	1.19326436	1.21598273	
839.24	1.19336642	1.21625708	
839.44	1.19341489	1.21652645	
839.64	1.19355373	1.21679096	
839.84	1.1936336	1.21705074	
840.04	1.193178	1.2173059	
840.24	1.19341506	1.21755655	
840.44	1.19348406	1.21780283	
840.64	1.19397066	1.21804482	
840.84	1.19410243	1.21828264	
841.04	1.19435618	1.21851639	
841.24	1.19424007	1.21874618	
841.44	1.19434599	1.21897211	
841.64	1.19436882	1.21919426	
841.84	1.19471014	1.21941274	
842.04	1.19530549	1.21962764	
842.24	1.19602401	1.21983905	
842.44	1.19654739	1.22004704	
842.64	1.19673045	1.22025172	
842.84	1.19775256	1.22045316	
843.04	1.19836417	1.22065145	
843.24	1.19886864	1.22084665	
843.44	1.19922732	1.22103886	
843.64	1.19965206	1.22122813	
843.84	1.19984036	1.22141456	
844.04	1.19986825	1.2215982	
844.24	1.2002688	1.22177914	
844.44	1.20040155	1.22195742	
844.64	1.19993121	1.22213313	
844.84	1.20028818	1.22230633	
845.04	1.20023948	1.22247707	
845.24	1.19988192	1.22264543	
845.44	1.19983793	1.22281145	
845.64	1.19963436	1.2229752	
845.84	1.19998653	1.22313674	
846.04	1.20048657	1.22329611	
846.24	1.2005672	1.22345338	
846.44	1.20097485	1.22360859	
846.64	1.20141585	1.2237618	
846.84	1.20190166	1.22391306	
847.04	1.20224299	1.22406241	
847.24	1.20264879	1.22420991	
