Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs	0.000631496580826335	
Error Kobs	1034.10243173549	
Koff	0.000690958071213838	
Error Koff	1.33906824234847E-05	
Time1	Data1	Fit1	
799.84	0.02247398	0.02247398	
800.04	0.02429751	0.02247344	
800.24	0.02544321	0.02247289	
800.44	0.02664871	0.02247235	
800.64	0.02796527	0.02247181	
800.84	0.02882981	0.02247126	
801.04	0.02949478	0.02247072	
801.24	0.02952933	0.02247018	
801.44	0.03004801	0.02246963	
801.64	0.03023721	0.02246909	
801.84	0.029682	0.02246854	
802.04	0.02867039	0.022468	
802.24	0.02879837	0.02246746	
802.44	0.02875624	0.02246691	
802.64	0.02882624	0.02246637	
802.84	0.02881112	0.02246583	
803.04	0.0288098	0.02246528	
803.24	0.02960414	0.02246474	
803.44	0.02948332	0.0224642	
803.64	0.02972866	0.02246366	
803.84	0.02975982	0.02246311	
804.04	0.0297497	0.02246257	
804.24	0.0295684	0.02246203	
804.44	0.02957489	0.02246148	
804.64	0.02951919	0.02246094	
804.84	0.02902558	0.0224604	
805.04	0.02862147	0.02245986	
805.24	0.02814285	0.02245931	
805.44	0.02855174	0.02245877	
805.64	0.02825766	0.02245823	
805.84	0.02738446	0.02245769	
806.04	0.02723809	0.02245715	
806.24	0.02767912	0.0224566	
806.44	0.02762858	0.02245606	
806.64	0.0280276	0.02245552	
806.84	0.02825115	0.02245498	
807.04	0.02808618	0.02245444	
807.24	0.02821347	0.02245389	
807.44	0.02797148	0.02245335	
807.64	0.02805569	0.02245281	
807.84	0.0276174	0.02245227	
808.04	0.02791362	0.02245173	
808.24	0.02807622	0.02245119	
808.44	0.02769586	0.02245065	
808.64	0.02753507	0.0224501	
808.84	0.02821234	0.02244956	
809.04	0.02833817	0.02244902	
809.24	0.02840161	0.02244848	
809.44	0.02876458	0.02244794	
809.64	0.02879893	0.0224474	
809.84	0.02865336	0.02244686	
810.04	0.02886326	0.02244632	
810.24	0.02882947	0.02244578	
810.44	0.02860078	0.02244524	
810.64	0.02833263	0.0224447	
810.84	0.02831139	0.02244416	
811.04	0.02794632	0.02244361	
811.24	0.02779162	0.02244307	
811.44	0.02766246	0.02244253	
811.64	0.02728693	0.02244199	
811.84	0.02673415	0.02244145	
812.04	0.02648541	0.02244091	
812.24	0.02574502	0.02244037	
812.44	0.02559667	0.02243983	
812.64	0.02576441	0.02243929	
812.84	0.02646625	0.02243875	
813.04	0.02641876	0.02243821	
813.24	0.02664199	0.02243767	
813.44	0.02714004	0.02243714	
813.64	0.02735881	0.0224366	
813.84	0.02735056	0.02243606	
814.04	0.02755172	0.02243552	
814.24	0.027586	0.02243498	
814.44	0.02802086	0.02243444	
814.64	0.0280909	0.0224339	
814.84	0.0281863	0.02243336	
815.04	0.02832621	0.02243282	
815.24	0.02863728	0.02243228	
815.44	0.02891741	0.02243174	
815.64	0.02885581	0.0224312	
815.84	0.02840221	0.02243067	
816.04	0.02833379	0.02243013	
816.24	0.02835372	0.02242959	
816.44	0.02844105	0.02242905	
816.64	0.02834768	0.02242851	
816.84	0.02828314	0.02242797	
817.04	0.02876868	0.02242743	
817.24	0.02885592	0.0224269	
817.44	0.02866335	0.02242636	
817.64	0.02863192	0.02242582	
817.84	0.02863926	0.02242528	
818.04	0.02869586	0.02242474	
818.24	0.02852359	0.02242421	
818.44	0.02839059	0.02242367	
818.64	0.02766881	0.02242313	
818.84	0.02720541	0.02242259	
819.04	0.02746446	0.02242205	
819.24	0.02756289	0.02242152	
819.44	0.02735797	0.02242098	
819.64	0.02745863	0.02242044	
819.84	0.02723628	0.0224199	
820.04	0.02723351	0.02241937	
820.24	0.02769684	0.02241883	
820.44	0.02732504	0.02241829	
820.64	0.02729504	0.02241776	
820.84	0.02709369	0.02241722	
821.04	0.02696855	0.02241668	
821.24	0.02649066	0.02241614	
821.44	0.02652513	0.02241561	
821.64	0.02652436	0.02241507	
821.84	0.02632828	0.02241453	
822.04	0.02615377	0.022414	
822.24	0.02607138	0.02241346	
822.44	0.02568519	0.02241292	
822.64	0.02557966	0.02241239	
822.84	0.02607681	0.02241185	
823.04	0.02652003	0.02241131	
823.24	0.02658538	0.02241078	
823.44	0.02667673	0.02241024	
823.64	0.02703324	0.02240971	
823.84	0.02702451	0.02240917	
824.04	0.02726855	0.02240863	
824.24	0.02764727	0.0224081	
824.44	0.02749275	0.02240756	
824.64	0.02740566	0.02240703	
824.84	0.02691021	0.02240649	
825.04	0.02672149	0.02240596	
825.24	0.02672586	0.02240542	
825.44	0.02705808	0.02240488	
825.64	0.0266952	0.02240435	
825.84	0.0265661	0.02240381	
826.04	0.0266337	0.02240328	
826.24	0.02668918	0.02240274	
826.44	0.02669583	0.02240221	
826.64	0.02729614	0.02240167	
826.84	0.02779147	0.02240114	
827.04	0.02781729	0.0224006	
827.24	0.02726522	0.02240007	
827.44	0.02724696	0.02239953	
827.64	0.02737328	0.022399	
827.84	0.02744869	0.02239846	
828.04	0.02762074	0.02239793	
828.24	0.02768825	0.02239739	
828.44	0.02783501	0.02239686	
828.64	0.02700112	0.02239632	
828.84	0.02664732	0.02239579	
829.04	0.02613051	0.02239526	
829.24	0.0252825	0.02239472	
829.44	0.0247524	0.02239419	
829.64	0.02418414	0.02239365	
829.84	0.02396396	0.02239312	
