Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs	0.0158744612552941	
Error Kobs	NaN	
Koff	9406.27592158975	
Error Koff	0	
Time1	Data1	Fit1	
799.84	0.02842701	0.02842701	
800.04	0.02961762	0.02841671	
800.24	0.03037176	0.02840644	
800.44	0.03145966	0.0283962	
800.64	0.03256917	0.028386	
800.84	0.03338885	0.02837583	
801.04	0.03402902	0.02836569	
801.24	0.03405223	0.02835558	
801.44	0.03402365	0.0283455	
801.64	0.03391918	0.02833546	
801.84	0.03316928	0.02832544	
802.04	0.03203457	0.02831546	
802.24	0.03147655	0.02830552	
802.44	0.03134554	0.0282956	
802.64	0.0310657	0.02828571	
802.84	0.03114894	0.02827586	
803.04	0.03088826	0.02826603	
803.24	0.03130924	0.02825624	
803.44	0.03174632	0.02824648	
803.64	0.03217167	0.02823675	
803.84	0.03252755	0.02822705	
804.04	0.03228636	0.02821738	
804.24	0.03229688	0.02820774	
804.44	0.03291067	0.02819814	
804.64	0.03298691	0.02818856	
804.84	0.03233982	0.02817901	
805.04	0.03165139	0.0281695	
805.24	0.03094603	0.02816001	
805.44	0.03052205	0.02815055	
805.64	0.02977704	0.02814113	
805.84	0.02837602	0.02813173	
806.04	0.0278487	0.02812236	
806.24	0.02841286	0.02811303	
806.44	0.02823672	0.02810372	
806.64	0.02826166	0.02809444	
806.84	0.02854321	0.02808519	
807.04	0.02841432	0.02807597	
807.24	0.0288559	0.02806678	
807.44	0.02855238	0.02805762	
807.64	0.02840322	0.02804849	
807.84	0.02793737	0.02803939	
808.04	0.02816086	0.02803032	
808.24	0.02859015	0.02802127	
808.44	0.02893944	0.02801225	
808.64	0.02888797	0.02800327	
808.84	0.0289243	0.02799431	
809.04	0.02870497	0.02798538	
809.24	0.02878911	0.02797647	
809.44	0.02861122	0.0279676	
809.64	0.02853532	0.02795875	
809.84	0.02866419	0.02794993	
810.04	0.02914704	0.02794114	
810.24	0.02991127	0.02793238	
810.44	0.0296379	0.02792365	
810.64	0.0299789	0.02791494	
810.84	0.03032883	0.02790626	
811.04	0.03000723	0.02789761	
811.24	0.02997173	0.02788898	
811.44	0.03002069	0.02788039	
811.64	0.02988291	0.02787182	
811.84	0.02944543	0.02786327	
812.04	0.02953654	0.02785476	
812.24	0.02899988	0.02784627	
812.44	0.02854676	0.02783781	
