exprun_digit;rec;meas_type;sample;ligand;meas_driftcorr;meas_salt;Rstart;Rmaxlim;Rminlim;hill_term;hill_stats;hill_stats_value
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_max;estimate;3,954217e-01
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_max;std.error;4,318434e-02
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_max;statistic;9,156600e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_max;p.value;2,753773e-03
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_zero;estimate;0,000000e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_zero;std.error;2,096012e-02
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_zero;statistic;0,000000e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;octet_zero;p.value;1,000000e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;EC50;estimate;9,542059e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;EC50;std.error;3,067787e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;EC50;statistic;3,110405e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;EC50;p.value;5,286483e-02
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;hslope;estimate;9,005768e-01
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;hslope;std.error;2,591162e-01
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;hslope;statistic;3,475572e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;hslope;p.value;4,018384e-02
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_max;estimate;3,734851e-01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_max;std.error;2,550177e-02
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_max;statistic;1,464546e+01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_max;p.value;6,904313e-04
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_zero;estimate;0,000000e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_zero;std.error;7,430732e-03
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_zero;statistic;0,000000e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;octet_zero;p.value;1,000000e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;EC50;estimate;1,580079e+01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;EC50;std.error;3,175496e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;EC50;statistic;4,975849e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;EC50;p.value;1,559801e-02
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;hslope;estimate;8,917631e-01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;hslope;std.error;1,238758e-01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;hslope;statistic;7,198848e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;hslope;p.value;5,524672e-03
